55.0 74.48 2.7
55.0 53.95 -19.25 3.1
55.0 53.96 -16.65 2.8
55.0 53.96 20.25 2.6
55.0 53.97 21.52 2.5
55.0 
55.0 53.96 255.00 0.0
55.0 53.95 53.26 0.0
55.0 54.11 -255.00 0.0
55.0 54.09 74.24 0.0
55.0 54.08 40.53 0.5
55.0 54.06 28.17 1.0
55.0 54.09 12.35 1.4
55.0 54.11 11.32 1.3
55.0 54.12 18.18 1.3
55.0 54.12 18.26 1.1
55.0 54.10 28.26 1.7
55.0 54.06 33.55 1.7
55.0 54.07 17.57 1.6
55.0 54.07 22.07 1.9
55.0 54.04 33.18 1.8
55.0 53.99 37.76 1.9
55.0 54.00 22.94 2.1
55.0 53.94 42.51 2.0
55.0 53.98 10.83 2.2
55.0 54.00 15.13 2.4
55.0 53.96 37.42 2.3
55.0 53.99 11.04 2.2
55.0 54.06 -1.14 2.2
55.0 54.04 28.52 2.1
55.0 54.04 21.53 2.0
55.0 54.08 5.06 2.3
55.0 54.08 22.18 2.2
55.0 54.10 12.53 2.0
55.0 54.09 23.24 2.3
55.0 54.09 22.36 1.8
55.0 54.07 28.24 1.9
55.0 54.06 22.81 2.2
55.0 54.05 27.34 2.0
55.0 54.04 22.54 2.2
55.0 54.03 27.03 2.4
55.0 54.01 28.22 2.5
55.0 54.01 21.12 2.3
55.0 54.05 10.19 2.6
55.0 54.04 22.54 2.4
55.0 54.04 22.52 2.3
55.0 54.00 37.97 2.4
55.0 54.00 20.87 2.7
55.0 54.02 16.78 2.6
55.0 53.99 32.53 2.4
55.0 53.99 20.76 2.7
55.0 54.03 11.49 2.6
55.0 54.00 32.63 2.4
55.0 53.97 32.27 3.0
55.0 53.95 31.35 2.2
55.0 53.96 20.12 2.7
55.0 53.96 22.59 2.1
55.0 53.99 14.89 3.0
55.0 54.00 16.59 2.5
55.0 54.01 20.98 2.8
55.0 54.01 22.05 2.5
55.0 54.00 27.25 2.1
55.0 53.98 26.30 2.5
55.0 53.99 22.87 2.5
55.0 54.01 15.29 2.4
55.0 54.00 27.24 2.6
55.0 54.01 15.38 2.7
55.0 53.97 37.60 2.8
55.0 53.95 31.94 2.6
55.0 53.96 20.11 2.6
55.0 53.98 16.23 2.6
55.0 54.00 16.50 2.6
55.0 54.00 20.88 2.6
55.0 53.99 27.15 3.1
55.0 53.98 26.19 2.5
55.0 53.97 27.74 2.9
55.0 54.05 -7.08 2.8
55.0 54.03 27.11 2.4
55.0 54.05 18.39 2.3
55.0 54.04 21.63 2.6
55.0 54.00 38.00 2.6
55.0 54.03 9.96 2.9
55.0 53.99 37.84 2.8
55.0 53.99 20.73 3.0
55.0 54.00 20.79 2.7
55.0 54.00 21.92 2.7
55.0 53.92 52.72 2.9
55.0 53.87 41.49 2.8
55.0 53.91 7.94 2.9
55.0 53.84 52.45 2.6
55.0 53.83 31.27 3.1
55.0 53.81 34.54 3.1
55.0 53.81 24.69 3.1
55.0 53.84 18.03 3.1
55.0 53.88 11.45 3.1
55.0 53.93 8.17 3.1
55.0 53.94 18.51 2.8
55.0 53.92 32.24 3.1
55.0 53.90 30.51 2.8
55.0 53.91 20.71 3.0
55.0 53.91 25.01 2.6
55.0 53.89 31.16 3.0
55.0 53.88 30.94 2.9
55.0 53.85 35.29 2.5
55.0 53.80 45.75 3.0
55.0 53.80 24.56 3.2
55.0 53.78 34.15 3.1
55.0 53.76 34.69 3.2
55.0 53.78 22.70 3.0
55.0 53.77 30.63 3.2
55.0 53.64 76.22 2.7
55.0 53.67 22.61 3.3
55.0 53.70 17.74 3.5
55.0 53.68 37.95 3.5
55.0 53.74 7.48 3.2
55.0 53.74 26.52 3.0
55.0 53.76 25.37 3.1
55.0 53.75 27.99 3.2
55.0 53.74 33.37 4.0
55.0 53.77 18.66 3.2
55.0 53.75 34.49 3.2
55.0 53.71 44.49 2.8
55.0 53.75 10.89 3.3
55.0 53.82 0.63 3.4
