95.0 -255.00 0.0
95.0 76.64 -255.00 0.0
95.0 76.98 -255.00 0.0
95.0 77.26 -255.00 0.2
95.0 
95.0 77.46 -255.00 0.0
95.0 77.66 -255.00 0.0
95.0 77.96 -255.00 0.2
95.0 78.33 -255.00 0.6
95.0 78.44 -255.00 2.4
95.0 78.52 -255.00 5.6
95.0 78.64 -255.00 7.4
95.0 78.73 -255.00 9.5
95.0 78.80 -255.00 11.2
95.0 78.87 -255.00 12.9
95.0 78.93 -255.00 14.5
95.0 78.99 -255.00 15.9
95.0 79.03 -255.00 17.2
95.0 79.11 -255.00 18.1
95.0 79.12 -255.00 19.3
95.0 79.03 -255.00 20.3
95.0 78.79 -255.00 21.4
95.0 78.57 -255.00 22.4
95.0 78.48 -255.00 23.2
95.0 78.89 -255.00 23.9
95.0 79.10 -255.00 24.1
95.0 79.20 -255.00 24.5
95.0 79.14 -255.00 23.7
95.0 79.00 -255.00 24.1
95.0 78.87 -255.00 25.0
95.0 78.65 -255.00 25.7
95.0 78.50 -255.00 26.9
95.0 78.60 -255.00 27.5
95.0 78.74 -255.00 27.8
95.0 79.00 -255.00 28.0
95.0 79.20 -255.00 27.8
95.0 79.38 -255.00 27.7
95.0 79.39 -255.00 27.5
95.0 79.37 -255.00 27.9
95.0 79.38 -255.00 27.7
95.0 79.33 -255.00 27.8
95.0 79.12 -255.00 28.2
95.0 79.03 -255.00 28.6
95.0 78.96 -255.00 28.6
95.0 78.90 -255.00 29.1
95.0 78.98 -255.00 29.3
95.0 79.03 -255.00 29.5
95.0 79.17 -255.00 29.5
95.0 79.26 -255.00 29.5
95.0 79.37 -255.00 29.5
95.0 79.44 -255.00 29.3
95.0 79.51 -255.00 29.3
95.0 79.50 -255.00 29.3
95.0 79.50 -255.00 28.8
95.0 79.38 -255.00 28.9
95.0 79.24 -255.00 29.0
95.0 79.12 -255.00 29.0
95.0 79.07 -255.00 29.0
95.0 79.02 -255.00 29.4
95.0 78.92 -255.00 29.1
95.0 78.89 -255.00 29.2
95.0 78.83 -255.00 29.2
95.0 78.78 -255.00 29.0
95.0 78.70 -255.00 29.1
