55.0 4.62 0.0
55.0 38.23 72.02 0.0
55.0 38.28 51.96 0.0
55.0 38.29 64.23 0.0
55.0 38.28 75.62 0.0
55.0 
55.0 38.27 255.00 0.0
55.0 38.21 255.00 0.2
55.0 38.25 -100.38 0.4
55.0 38.25 36.41 0.2
55.0 38.24 34.58 0.6
55.0 38.28 60.23 0.9
55.0 38.26 79.58 0.8
55.0 38.26 68.33 1.8
55.0 38.28 67.90 2.5
55.0 38.25 80.53 2.8
55.0 38.24 76.49 3.4
55.0 38.23 75.87 4.3
55.0 38.24 71.99 4.1
55.0 38.18 95.25 4.3
55.0 38.15 84.66 5.3
55.0 38.17 68.41 5.4
55.0 38.17 79.89 5.6
55.0 38.17 72.48 5.6
55.0 38.17 76.17 6.0
55.0 38.21 56.11 6.2
55.0 38.19 86.95 6.3
55.0 38.20 68.38 6.5
55.0 38.19 76.53 6.7
55.0 38.18 83.43 7.5
55.0 38.18 72.47 7.1
55.0 38.19 72.22 7.2
55.0 38.19 72.46 7.4
55.0 38.19 76.07 7.7
55.0 38.20 72.18 7.6
55.0 38.30 31.32 8.0
55.0 38.31 67.76 7.7
55.0 38.31 71.63 7.5
55.0 38.41 27.09 7.5
55.0 38.39 75.07 7.5
55.0 38.38 68.24 7.1
55.0 38.33 89.32 7.6
55.0 38.32 72.36 7.7
55.0 38.28 83.28 7.9
55.0 38.26 79.55 8.1
55.0 38.23 84.61 8.1
55.0 38.23 72.02 8.4
55.0 38.21 80.57 9.7
55.0 38.21 79.56 8.4
55.0 38.20 72.45 8.5
55.0 38.20 72.45 8.9
55.0 38.20 76.02 8.4
55.0 38.20 76.03 8.7
55.0 38.29 40.71 8.5
55.0 38.27 76.46 8.4
55.0 38.27 71.81 8.4
55.0 38.38 32.45 8.4
55.0 38.36 72.33 8.2
55.0 38.33 79.20 8.2
55.0 38.30 83.21 8.1
55.0 38.28 79.48 8.5
55.0 38.25 80.54 8.6
55.0 38.22 80.56 8.8
55.0 38.25 68.22 8.6
55.0 38.26 64.25 8.7
55.0 38.26 75.75 9.0
55.0 38.23 80.55 8.6
55.0 38.23 75.65 8.8
55.0 38.22 76.50 8.3
55.0 38.21 76.51 8.7
55.0 38.20 76.00 8.7
55.0 38.20 76.01 8.9
55.0 38.23 64.31 8.8
55.0 38.21 80.57 8.8
55.0 38.28 43.73 8.9
55.0 38.27 78.98 8.8
55.0 38.26 72.40 8.6
55.0 38.34 44.38 8.7
55.0 38.33 71.52 8.3
55.0 38.34 64.19 8.3
55.0 38.29 87.06 8.7
55.0 38.27 76.46 8.3
55.0 38.30 67.80 8.5
55.0 38.32 60.12 8.6
55.0 38.27 87.17 8.4
55.0 38.26 72.40 8.6
55.0 38.25 79.64 7.6
55.0 38.27 64.11 8.6
55.0 38.27 68.32 8.6
55.0 38.28 71.81 8.6
55.0 38.29 67.89 8.4
55.0 38.30 64.22 8.4
55.0 38.19 110.37 8.5
55.0 38.20 75.92 8.9
55.0 38.21 72.11 9.8
55.0 38.23 64.28 8.8
55.0 38.22 79.78 8.6
55.0 38.18 87.61 9.3
55.0 38.21 60.20 9.1
55.0 38.24 64.25 9.1
55.0 38.28 56.06 8.8
55.0 38.29 71.50 8.6
55.0 38.32 56.02 8.9
55.0 38.35 56.00 8.5
55.0 38.39 55.80 8.6
55.0 38.38 71.30 8.2
55.0 38.43 47.81 8.2
55.0 38.43 64.12 8.0
55.0 38.45 62.80 8.0
55.0 38.47 51.81 8.0
55.0 38.50 51.79 7.8
55.0 38.52 55.15 8.5
55.0 38.52 62.90 6.9
55.0 38.55 51.13 7.5
55.0 38.56 51.73 7.6
55.0 38.58 51.72 7.1
55.0 38.58 61.61 7.3
55.0 38.64 31.05 7.3
55.0 38.65 54.49 7.2
55.0 38.65 55.77 7.1
55.0 38.68 42.66 6.8
55.0 38.71 46.44 6.3
55.0 38.71 51.62 6.8
55.0 38.70 60.55 6.9
55.0 38.75 30.97 6.9
55.0 38.77 46.14 6.4
55.0 38.78 43.34 6.3
55.0 38.81 42.05 6.8
55.0 38.85 34.03 6.2
55.0 38.87 39.15 6.5
55.0 38.86 49.56 6.1
55.0 38.82 65.27 6.0
55.0 38.84 39.17 6.0
55.0 38.86 41.81 6.1
55.0 38.86 43.28 5.9
55.0 38.88 44.23 6.1
55.0 38.89 39.13 5.8
55.0 38.91 41.56 5.6
55.0 38.92 39.11 5.8
55.0 38.93 41.45 5.9
55.0 38.94 41.40 6.1
55.0 38.95 39.08 5.5
55.0 38.95 43.55 5.5
55.0 38.98 30.79 6.1
55.0 38.99 39.05 5.6
55.0 38.99 41.14 5.4
55.0 39.00 37.17 4.8
55.0 39.03 33.15 4.9
55.0 39.06 26.58 5.0
55.0 39.07 34.86 5.6
55.0 39.08 35.01 5.1
55.0 39.10 30.70 4.7
55.0 39.11 32.73 5.4
55.0 39.11 34.82 4.5
55.0 39.13 34.62 4.7
55.0 39.15 26.51 5.3
55.0 39.17 26.50 4.6
55.0 39.19 26.58 4.5
55.0 39.22 22.30 4.6
55.0 39.29 8.27 4.3
