55.0 7.89 0.0
55.0 54.02 9.70 0.0
55.0 54.02 20.16 0.0
55.0 54.00 27.37 0.0
55.0 53.95 42.61 0.0
55.0 
55.0 53.93 255.00 0.0
55.0 53.92 33.03 0.0
55.0 53.92 19.51 0.0
55.0 53.92 28.02 0.1
55.0 53.90 60.78 0.5
55.0 53.88 30.21 0.3
55.0 53.85 35.37 0.6
55.0 53.86 24.09 0.9
55.0 53.87 21.59 0.7
55.0 53.86 29.83 1.6
55.0 53.89 15.01 1.2
55.0 53.89 24.68 2.2
55.0 53.89 25.77 1.6
55.0 53.85 41.17 1.5
55.0 53.88 13.07 1.8
55.0 53.88 25.62 1.8
55.0 53.92 10.04 1.9
55.0 53.88 41.59 1.8
55.0 53.86 29.87 1.5
55.0 53.82 40.45 1.8
55.0 53.83 26.17 1.9
55.0 53.82 29.12 2.2
55.0 53.85 14.49 2.4
55.0 53.92 2.21 2.1
55.0 53.91 25.06 2.3
55.0 53.87 41.45 2.0
55.0 53.85 29.72 2.4
55.0 53.86 26.49 2.6
55.0 53.84 29.56 2.8
55.0 53.83 30.34 2.8
55.0 53.82 29.22 2.4
55.0 53.85 19.76 2.6
55.0 53.83 30.34 2.4
55.0 53.81 34.63 3.0
55.0 53.77 40.16 2.8
55.0 53.79 24.30 3.0
55.0 53.68 65.89 3.3
55.0 53.67 33.41 3.1
55.0 53.77 -6.13 3.2
55.0 53.74 40.32 3.1
55.0 53.74 27.68 3.4
55.0 53.74 27.69 3.5
55.0 53.72 35.13 3.1
55.0 53.69 38.26 3.2
55.0 53.73 18.11 3.3
55.0 53.71 32.98 3.7
55.0 53.75 20.17 3.5
55.0 53.76 22.43 3.2
55.0 53.74 33.47 3.1
55.0 53.74 29.06 2.9
55.0 53.71 39.30 3.3
55.0 53.73 23.53 3.5
55.0 53.70 38.40 3.1
55.0 53.71 27.18 3.3
55.0 53.72 25.02 3.3
55.0 53.81 -5.33 3.3
55.0 53.81 29.94 3.1
55.0 53.78 34.98 2.9
55.0 53.78 29.58 3.3
55.0 53.79 22.95 2.8
