95.0  255.00 0.0
95.0 69.53 255.00 0.0
95.0 69.48 255.00 0.0
95.0 69.48 255.00 0.0
95.0 
95.0 69.41 255.00 0.0
95.0 69.33 255.00 0.0
95.0 69.30 229.91 0.2
95.0 69.27 224.05 0.2
95.0 69.27 193.63 2.4
95.0 69.18 255.00 3.2
95.0 69.32 255.00 5.0
95.0 69.36 255.00 7.0
95.0 69.35 255.00 8.3
95.0 69.32 255.00 9.9
95.0 69.22 255.00 11.0
95.0 69.22 255.00 12.3
95.0 69.20 255.00 13.6
95.0 69.30 255.00 15.6
95.0 69.27 255.00 15.7
95.0 69.27 255.00 16.8
95.0 69.03 255.00 17.6
95.0 69.05 255.00 17.9
95.0 69.05 255.00 19.0
95.0 69.05 255.00 19.5
95.0 69.16 255.00 20.9
95.0 69.12 255.00 20.8
95.0 69.09 255.00 21.1
95.0 69.11 255.00 21.5
95.0 69.01 255.00 21.4
95.0 69.01 255.00 22.6
95.0 69.10 255.00 22.6
95.0 69.25 255.00 22.8
95.0 69.21 255.00 23.4
95.0 69.17 255.00 23.2
95.0 69.16 255.00 23.5
95.0 69.08 255.00 23.1
95.0 69.07 255.00 23.7
95.0 69.09 255.00 24.1
95.0 69.06 255.00 24.3
95.0 69.04 255.00 24.2
95.0 68.91 255.00 24.0
95.0 68.94 255.00 24.5
95.0 68.88 255.00 24.7
95.0 68.92 255.00 24.8
95.0 68.95 255.00 25.0
95.0 68.96 255.00 24.9
95.0 68.86 255.00 24.0
95.0 68.79 255.00 24.7
95.0 68.84 255.00 24.7
95.0 69.03 255.00 25.0
95.0 68.99 255.00 24.7
95.0 68.97 255.00 24.5
95.0 68.96 255.00 24.8
95.0 69.10 255.00 25.7
95.0 69.25 255.00 25.0
95.0 69.20 255.00 25.0
95.0 69.37 255.00 25.0
95.0 69.31 255.00 24.5
95.0 69.26 255.00 24.6
95.0 69.24 255.00 25.0
95.0 69.17 255.00 24.0
95.0 69.14 255.00 24.8
95.0 69.13 255.00 24.9
95.0 68.90 255.00 25.1
95.0 68.94 255.00 24.8
95.0 68.97 255.00 24.9
95.0 69.00 255.00 24.8
95.0 69.02 255.00 25.4
95.0 69.11 255.00 24.5
95.0 69.10 255.00 24.5
95.0 69.21 255.00 24.5
95.0 69.10 255.00 24.7
95.0 69.16 255.00 24.7
95.0 69.15 255.00 24.5
95.0 69.18 255.00 24.1
95.0 69.16 255.00 24.5
95.0 69.20 255.00 24.5
95.0 69.20 255.00 24.3
95.0 69.12 255.00 25.0
95.0 69.18 255.00 24.5
95.0 69.18 255.00 24.4
95.0 69.30 255.00 24.0
95.0 69.27 255.00 23.9
95.0 69.10 255.00 24.1
95.0 69.11 255.00 24.5
95.0 69.15 255.00 24.3
95.0 69.20 255.00 24.1
95.0 69.19 255.00 23.6
95.0 69.30 255.00 24.5
95.0 69.34 255.00 23.8
95.0 69.49 255.00 23.8
95.0 69.42 255.00 23.7
95.0 69.47 255.00 23.8
95.0 69.63 255.00 24.5
95.0 69.44 255.00 23.5
95.0 69.47 255.00 23.7
95.0 69.45 255.00 23.6
95.0 69.63 255.00 23.7
95.0 69.68 255.00 23.7
95.0 69.68 255.00 23.5
95.0 69.68 255.00 23.6
95.0 69.75 255.00 23.5
95.0 70.03 255.00 23.5
95.0 69.99 255.00 23.7
95.0 70.03 255.00 23.4
95.0 70.04 255.00 23.4
95.0 70.05 255.00 23.7
95.0 70.08 255.00 23.0
95.0 70.11 255.00 23.4
