55.0 38.83 255.00 25.5
55.0 38.92 255.00 25.3
55.0 38.96 255.00 25.6
55.0 39.02 255.00 25.2
55.0 39.11 255.00 25.6
55.0 39.20 255.00 25.3
55.0 39.34 255.00 25.2
55.0 39.49 255.00 24.7
55.0 39.56 255.00 25.6
55.0 39.62 255.00 25.1
55.0 39.70 255.00 25.8
55.0 39.65 255.00 25.4
55.0 39.74 255.00 25.4
55.0 39.84 255.00 25.4
55.0 39.96 255.00 25.4
55.0 40.04 255.00 25.4
55.0 40.15 255.00 25.2
55.0 40.20 255.00 25.6
55.0 40.31 255.00 24.8
55.0 40.38 255.00 25.4
55.0 40.45 255.00 25.2
55.0 40.58 255.00 25.2
55.0 40.59 255.00 24.1
55.0 40.67 255.00 25.3
55.0 40.74 255.00 25.2
55.0 40.82 255.00 25.1
55.0 40.92 255.00 25.2
55.0 41.00 255.00 25.4
55.0 41.08 255.00 25.0
55.0 41.14 255.00 25.8
55.0 41.23 255.00 25.2
55.0 41.31 255.00 25.4
55.0 41.40 255.00 25.0
55.0 41.48 255.00 24.7
55.0 41.55 255.00 25.2
55.0 41.62 255.00 25.2
55.0 41.69 255.00 25.2
55.0 41.71 255.00 24.7
55.0 41.81 255.00 25.2
55.0 41.92 255.00 24.7
55.0 42.01 255.00 25.6
55.0 42.05 255.00 25.0
55.0 42.14 255.00 25.1
55.0 42.18 255.00 25.2
55.0 42.27 255.00 24.8
55.0 42.35 255.00 25.0
55.0 42.42 255.00 25.0
55.0 42.44 255.00 25.2
55.0 42.47 255.00 25.6
55.0 42.54 255.00 24.8
55.0 42.60 255.00 25.0
55.0 42.67 255.00 24.6
55.0 42.83 255.00 25.2
55.0 42.94 255.00 25.0
55.0 43.06 255.00 24.7
55.0 43.09 255.00 25.0
55.0 43.07 255.00 25.0
55.0 43.16 255.00 24.8
55.0 43.27 255.00 25.2
55.0 43.38 255.00 24.9
55.0 43.45 255.00 24.9
55.0 43.52 255.00 25.0
55.0 43.55 255.00 25.2
55.0 43.63 255.00 25.4
55.0 43.69 255.00 25.0
55.0 43.77 255.00 24.7
55.0 43.81 255.00 24.4
55.0 44.02 255.00 24.8
55.0 44.09 255.00 25.0
