95.0 255.00 0.0
95.0 46.15 255.00 0.0
95.0 46.14 255.00 0.0
95.0 46.13 255.00 0.0
95.0 46.13 255.00 0.0
95.0 
95.0 46.10 255.00 0.0
95.0 46.06 255.00 0.0
95.0 46.08 255.00 0.0
95.0 46.13 169.19 0.3
95.0 46.12 255.00 1.7
95.0 46.16 255.00 4.3
95.0 46.11 255.00 5.3
95.0 46.07 255.00 7.6
95.0 46.09 255.00 9.9
95.0 46.08 255.00 11.2
95.0 46.12 255.00 13.6
95.0 46.01 255.00 14.0
95.0 45.98 255.00 15.2
95.0 45.98 255.00 16.3
95.0 45.98 255.00 17.3
95.0 45.99 255.00 18.4
95.0 45.99 255.00 19.2
95.0 45.99 255.00 20.0
95.0 45.98 255.00 20.5
95.0 45.99 255.00 21.5
95.0 45.98 255.00 22.1
95.0 45.99 255.00 22.5
95.0 45.99 255.00 23.0
95.0 45.98 255.00 23.4
95.0 45.98 255.00 23.7
95.0 45.99 255.00 24.1
95.0 45.98 255.00 24.7
95.0 45.98 255.00 24.7
95.0 45.99 255.00 25.0
95.0 46.02 255.00 25.4
95.0 46.02 255.00 25.8
95.0 46.02 255.00 25.8
95.0 46.02 255.00 26.2
95.0 46.03 255.00 26.2
95.0 46.01 255.00 26.2
95.0 45.99 255.00 26.4
95.0 46.04 255.00 26.7
95.0 46.02 255.00 26.7
95.0 46.01 255.00 26.9
95.0 45.99 255.00 26.7
95.0 45.99 255.00 26.9
95.0 46.00 255.00 27.0
95.0 46.01 255.00 26.9
95.0 46.04 255.00 27.0
95.0 46.04 255.00 27.1
95.0 46.04 255.00 27.0
95.0 46.00 255.00 27.1
95.0 45.99 255.00 27.4
95.0 46.01 255.00 27.1
95.0 46.02 255.00 27.1
95.0 46.00 255.00 27.1
95.0 46.06 255.00 27.5
95.0 46.12 255.00 28.2
95.0 46.22 255.00 27.9
95.0 46.31 255.00 27.4
95.0 46.31 255.00 27.3
95.0 46.31 255.00 27.3
95.0 46.33 255.00 27.2
95.0 46.28 255.00 27.2
95.0 46.31 255.00 26.8
95.0 46.39 255.00 27.3
95.0 46.39 255.00 27.3
95.0 46.42 255.00 27.0
95.0 46.50 255.00 27.1
95.0 46.46 255.00 26.8
95.0 46.46 255.00 26.7
95.0 46.45 255.00 26.8
95.0 46.43 255.00 26.7
95.0 46.44 255.00 26.6
95.0 46.43 255.00 26.5
95.0 46.42 255.00 26.6
95.0 46.42 255.00 26.3
95.0 46.47 255.00 26.6
95.0 46.46 255.00 26.7
95.0 46.47 255.00 26.3
95.0 46.41 255.00 25.9
95.0 46.38 255.00 26.1
95.0 46.43 255.00 26.5
95.0 46.54 255.00 26.3
95.0 46.57 255.00 25.9
95.0 46.57 255.00 25.7
95.0 46.55 255.00 26.2
95.0 46.59 255.00 26.1
95.0 46.60 255.00 26.1
95.0 46.63 255.00 25.9
95.0 46.62 255.00 25.8
95.0 46.64 255.00 25.9
95.0 46.66 255.00 25.9
95.0 46.69 255.00 25.7
95.0 46.60 255.00 25.8
95.0 46.67 255.00 26.3
95.0 46.74 255.00 25.2
95.0 46.73 255.00 25.5
95.0 46.79 255.00 25.7
95.0 46.92 255.00 25.2
95.0 46.93 255.00 25.1
95.0 46.95 255.00 25.6
95.0 47.00 255.00 25.4
95.0 47.02 255.00 25.2
95.0 47.07 255.00 25.4
95.0 47.16 255.00 25.2
95.0 47.17 255.00 25.2
95.0 47.23 255.00 24.3
95.0 47.25 255.00 25.7
95.0 47.31 255.00 24.7
95.0 47.32 255.00 25.2
95.0 47.44 255.00 25.5
95.0 47.40 255.00 24.5
95.0 47.39 255.00 25.0
95.0 47.45 255.00 25.0
95.0 47.50 255.00 25.0
95.0 47.56 255.00 24.8
95.0 47.58 255.00 24.8
95.0 47.63 255.00 24.8
95.0 47.76 255.00 25.8
95.0 47.80 255.00 24.2
