95.0 -44.38 8.1
95.0 93.35 25.01 8.0
95.0 93.40 -36.28 7.9
95.0 93.41 -15.14 7.4
95.0 93.41 24.55 7.0
95.0 
95.0 93.42 139.78 0.0
95.0 93.47 -23.22 0.3
95.0 93.60 -139.11 0.0
95.0 93.54 -1.68 0.5
95.0 93.49 44.27 1.2
95.0 93.98 -15.61 1.9
95.0 93.97 15.05 2.4
95.0 93.92 34.79 2.8
95.0 93.92 40.78 3.2
95.0 93.87 47.96 2.6
95.0 93.74 64.24 3.3
95.0 93.75 55.75 3.4
95.0 93.68 63.46 4.1
95.0 93.70 55.80 3.2
95.0 93.72 50.39 3.6
95.0 93.83 36.52 4.1
95.0 93.80 47.26 4.2
95.0 93.67 64.31 3.9
95.0 93.51 80.10 4.1
95.0 93.65 52.90 4.0
95.0 93.54 68.00 4.6
95.0 93.77 33.88 4.5
95.0 93.78 39.06 4.5
95.0 93.84 38.19 4.6
95.0 93.85 40.78 4.6
95.0 93.81 49.31 4.6
95.0 93.86 40.10 4.5
95.0 94.01 23.98 4.4
95.0 93.82 57.44 4.3
95.0 93.92 37.58 4.5
95.0 94.02 30.16 4.1
95.0 93.87 54.50 4.4
95.0 93.83 55.10 4.2
95.0 93.88 44.37 4.3
95.0 93.66 74.34 4.4
95.0 93.73 55.21 4.3
95.0 93.80 43.49 4.6
95.0 93.85 38.78 4.4
95.0 93.86 42.17 4.3
95.0 93.96 29.71 4.4
95.0 94.00 30.70 4.1
95.0 93.94 42.44 4.2
95.0 93.94 44.37 4.1
95.0 93.89 49.62 4.2
95.0 93.89 46.19 4.2
95.0 93.80 58.33 4.3
95.0 93.81 51.06 4.5
95.0 93.82 48.61 4.5
95.0 93.74 58.67 4.4
95.0 93.76 54.29 4.5
95.0 93.77 49.31 4.6
95.0 94.03 13.63 4.1
95.0 94.02 28.33 4.8
95.0 94.00 35.76 4.6
95.0 93.99 39.56 4.6
95.0 93.99 40.56 4.6
95.0 94.17 14.84 4.5
95.0 94.01 45.91 4.5
95.0 94.00 43.67 5.0
95.0 93.94 49.64 4.2
95.0 93.71 76.53 4.9
95.0 93.69 67.01 5.4
95.0 93.62 69.59 5.0
95.0 93.74 44.81 5.2
95.0 93.53 75.84 5.0
95.0 93.67 48.43 5.2
95.0 93.60 60.46 5.3
95.0 93.58 59.65 4.7
95.0 93.57 60.68 5.1
95.0 93.75 36.43 5.5
95.0 93.76 40.45 5.2
95.0 93.68 55.76 5.5
95.0 93.62 63.98 5.4
95.0 93.60 61.31 5.1
95.0 93.58 61.39 5.3
95.0 93.52 66.45 5.2
95.0 93.56 60.09 5.6
95.0 93.55 59.67 5.6
95.0 93.59 54.84 5.6
95.0 93.39 81.74 5.4
95.0 93.45 65.13 5.7
95.0 93.73 26.58 5.6
95.0 93.70 41.93 5.6
95.0 93.77 40.29 5.6
95.0 93.74 48.56 5.4
95.0 93.76 46.55 5.6
95.0 93.68 58.85 5.3
95.0 93.57 71.47 5.5
95.0 93.60 60.63 5.6
95.0 93.63 53.39 5.6
95.0 93.66 49.59 5.7
95.0 93.68 50.47 5.4
95.0 93.75 41.40 5.6
95.0 93.50 79.47 5.4
95.0 93.40 83.10 5.5
95.0 93.45 67.63 6.0
e 2.2773067951202393
