72.0  255.00 0.0
72.0 47.14 255.00 0.0
72.0 47.14 255.00 0.0
72.0 47.17 255.00 0.0
72.0 
72.0 47.15 255.00 0.0
72.0 47.12 255.00 0.0
72.0 47.00 255.00 0.2
72.0 47.01 232.18 0.5
72.0 47.09 198.64 1.5
72.0 47.09 226.82 4.8
72.0 47.10 240.91 5.3
72.0 47.08 247.95 7.0
72.0 46.96 251.48 8.8
72.0 47.03 253.24 10.5
72.0 47.12 254.12 11.6
72.0 47.11 254.56 13.6
72.0 46.99 254.78 14.9
72.0 46.99 254.89 15.9
72.0 47.01 254.94 17.1
72.0 47.06 254.97 18.5
72.0 47.06 254.99 18.9
72.0 47.10 254.99 20.2
72.0 47.10 255.00 20.5
72.0 47.10 255.00 21.9
72.0 47.11 255.00 21.9
72.0 47.02 255.00 22.3
72.0 47.02 255.00 22.9
72.0 47.01 255.00 23.4
72.0 46.99 255.00 23.8
72.0 47.06 255.00 23.7
72.0 47.06 255.00 24.6
72.0 47.13 255.00 25.0
72.0 47.11 255.00 25.2
72.0 47.06 255.00 25.2
72.0 47.05 255.00 25.4
72.0 47.09 255.00 25.2
72.0 47.08 255.00 26.0
72.0 47.09 255.00 26.3
72.0 47.09 255.00 26.2
72.0 47.07 255.00 26.6
72.0 47.06 255.00 26.5
72.0 47.09 255.00 26.2
72.0 47.20 255.00 26.5
72.0 47.20 255.00 26.5
72.0 47.12 255.00 26.8
72.0 47.13 255.00 26.9
72.0 47.11 255.00 27.6
72.0 47.11 255.00 26.9
72.0 47.10 255.00 26.7
72.0 47.10 255.00 27.0
72.0 47.11 255.00 26.9
72.0 47.12 255.00 27.0
72.0 47.12 255.00 27.3
72.0 47.11 255.00 27.1
72.0 47.09 255.00 27.0
72.0 47.12 255.00 26.7
72.0 47.12 255.00 27.0
72.0 47.11 255.00 27.5
72.0 47.14 255.00 27.0
72.0 47.12 255.00 26.7
72.0 47.11 255.00 26.9
72.0 47.12 255.00 27.1
72.0 47.12 255.00 27.0
72.0 47.15 255.00 27.5
72.0 47.16 255.00 26.9
72.0 47.15 255.00 26.3
72.0 47.19 255.00 25.8
72.0 47.19 255.00 26.7
72.0 47.26 255.00 26.4
72.0 47.28 255.00 26.7
72.0 47.31 255.00 26.5
72.0 47.32 255.00 26.7
72.0 47.35 255.00 26.5
72.0 47.43 255.00 25.8
72.0 47.42 255.00 26.3
72.0 47.45 255.00 26.2
72.0 47.45 255.00 26.3
72.0 47.46 255.00 26.5
72.0 47.48 255.00 26.3
72.0 47.46 255.00 26.8
72.0 47.51 255.00 26.6
72.0 47.53 255.00 26.5
72.0 47.60 255.00 25.8
72.0 47.60 255.00 26.0
72.0 47.62 255.00 25.8
72.0 47.63 255.00 26.0
72.0 47.60 255.00 26.3
72.0 47.62 255.00 25.4
72.0 47.63 255.00 25.8
72.0 47.67 255.00 25.7
72.0 47.69 255.00 25.8
72.0 47.67 255.00 26.2
72.0 47.69 255.00 25.8
72.0 47.72 255.00 25.6
72.0 47.81 255.00 25.2
72.0 47.83 255.00 25.7
72.0 47.87 255.00 25.6
72.0 47.89 255.00 25.6
72.0 47.95 255.00 25.7
72.0 48.08 255.00 25.3
72.0 48.10 255.00 25.4
72.0 48.10 255.00 25.2
72.0 48.11 255.00 25.4
72.0 48.10 255.00 25.4
72.0 48.13 255.00 24.3
72.0 48.17 255.00 25.4
72.0 48.21 255.00 25.4
72.0 48.25 255.00 25.2
72.0 48.34 255.00 25.0
72.0 48.34 255.00 25.3
72.0 48.37 255.00 25.4
72.0 48.45 255.00 24.6
72.0 48.51 255.00 25.0
72.0 48.49 255.00 25.4
72.0 48.55 255.00 25.2
72.0 48.60 255.00 25.0
72.0 48.71 255.00 24.6
72.0 48.75 255.00 24.9
72.0 48.70 255.00 24.4
72.0 48.72 255.00 25.0
72.0 48.77 255.00 25.0
72.0 48.87 255.00 24.4
72.0 48.90 255.00 24.7
72.0 48.91 255.00 24.1
72.0 48.98 255.00 25.2
72.0 48.99 255.00 24.7
72.0 49.10 255.00 24.8
72.0 49.12 255.00 24.7
72.0 49.25 255.00 24.9
72.0 49.41 255.00 23.9
72.0 49.44 255.00 24.3
72.0 49.42 255.00 24.3
72.0 49.47 255.00 24.5
72.0 49.48 255.00 24.5
72.0 49.46 255.00 25.0
72.0 49.49 255.00 24.4
72.0 49.53 255.00 24.2
72.0 49.58 255.00 24.2
72.0 49.61 255.00 24.5
72.0 49.63 255.00 24.5
72.0 49.67 255.00 24.3
72.0 49.62 255.00 24.5
72.0 49.71 255.00 24.8
72.0 49.75 255.00 24.2
72.0 49.82 255.00 24.2
72.0 49.88 255.00 23.9
72.0 49.93 255.00 24.1
72.0 49.94 255.00 24.1
72.0 50.01 255.00 24.1
72.0 50.07 255.00 23.5
72.0 50.05 255.00 23.8
72.0 50.19 255.00 23.8
72.0 50.20 255.00 23.7
72.0 50.30 255.00 23.9
72.0 50.44 255.00 24.0
72.0 50.60 255.00 24.3
72.0 50.65 255.00 23.8
72.0 50.66 255.00 24.1
72.0 50.81 255.00 24.1
72.0 50.85 255.00 23.7
72.0 50.90 255.00 23.4
72.0 50.99 255.00 23.8
72.0 51.10 255.00 23.5
72.0 51.20 255.00 23.5
72.0 51.29 255.00 23.7
72.0 51.43 255.00 23.9
72.0 51.56 255.00 24.3
72.0 51.58 255.00 23.6
72.0 51.62 255.00 23.0
72.0 51.67 255.00 23.2
72.0 51.77 255.00 23.6
72.0 51.86 255.00 23.7
72.0 51.91 255.00 23.4
72.0 51.99 255.00 23.3
72.0 52.10 255.00 23.5
72.0 52.17 255.00 23.5
72.0 52.19 255.00 23.5
72.0 52.15 255.00 23.4
72.0 52.23 255.00 23.2
72.0 52.28 255.00 23.4
72.0 52.40 255.00 23.2
72.0 52.45 255.00 23.4
72.0 52.48 255.00 23.1
72.0 52.56 255.00 23.3
72.0 52.64 255.00 23.5
72.0 52.70 255.00 23.5
72.0 52.76 255.00 23.2
72.0 52.78 255.00 22.9
72.0 52.86 255.00 22.9
72.0 52.92 255.00 23.2
72.0 53.06 255.00 22.8
72.0 53.00 255.00 22.5
72.0 53.10 255.00 23.2
72.0 53.21 255.00 23.2
72.0 53.26 255.00 23.5
72.0 53.31 255.00 23.0
72.0 53.42 255.00 23.0
72.0 53.50 255.00 23.0
72.0 53.63 255.00 22.9
72.0 53.64 255.00 22.6
72.0 53.72 255.00 23.0
72.0 53.87 255.00 22.9
72.0 53.87 255.00 22.7
72.0 53.96 255.00 23.0
72.0 54.15 255.00 23.3
72.0 54.24 255.00 22.8
72.0 54.29 255.00 23.0
72.0 54.44 255.00 22.6
72.0 54.55 255.00 23.3
72.0 54.59 255.00 22.8
72.0 54.69 255.00 22.9
72.0 54.73 255.00 23.3
72.0 54.76 255.00 22.6
72.0 54.87 255.00 23.1
72.0 54.93 255.00 22.7
72.0 55.07 255.00 22.6
72.0 55.17 255.00 23.0
72.0 55.24 255.00 22.7
72.0 55.34 255.00 22.8
72.0 55.36 255.00 22.4
72.0 55.43 255.00 22.7
72.0 55.53 255.00 23.0
72.0 55.56 255.00 22.4
72.0 55.63 255.00 22.6
72.0 55.70 255.00 22.9
72.0 55.68 255.00 22.2
72.0 55.77 255.00 22.7
72.0 55.87 255.00 22.2
72.0 55.97 255.00 22.9
72.0 56.03 255.00 22.6
72.0 56.02 255.00 22.8
72.0 56.17 255.00 22.6
72.0 56.25 255.00 22.6
72.0 56.39 255.00 22.1
72.0 56.42 255.00 22.8
72.0 56.49 255.00 22.4
72.0 56.56 255.00 22.8
72.0 56.58 255.00 22.2
72.0 56.69 255.00 22.3
72.0 56.69 255.00 22.2
72.0 56.84 255.00 22.4
72.0 56.93 255.00 22.5
72.0 56.89 255.00 22.5
72.0 56.99 255.00 22.6
72.0 57.09 255.00 22.2
72.0 57.21 255.00 22.4
72.0 57.23 255.00 22.0
72.0 57.32 255.00 22.4
72.0 57.36 255.00 22.1
72.0 57.52 255.00 22.3
72.0 57.60 255.00 22.3
72.0 57.67 255.00 22.2
72.0 57.77 255.00 22.4
72.0 57.84 255.00 22.2
72.0 57.88 255.00 22.5
72.0 57.92 255.00 21.9
72.0 58.00 255.00 22.2
72.0 58.05 255.00 22.2
72.0 58.21 255.00 22.3
72.0 58.28 255.00 22.2
72.0 58.37 255.00 22.2
72.0 58.38 255.00 22.2
72.0 58.46 255.00 22.0
72.0 58.55 255.00 22.3
72.0 58.59 255.00 22.0
72.0 58.68 255.00 22.6
72.0 58.73 255.00 22.0
72.0 58.84 255.00 22.0
72.0 58.90 255.00 22.6
72.0 58.98 255.00 21.9
72.0 59.10 255.00 22.4
72.0 59.10 255.00 21.6
72.0 59.19 255.00 22.0
72.0 59.27 255.00 22.6
72.0 59.19 255.00 21.4
