95.0 25.16 0.0
95.0 37.10 125.91 0.0
95.0 37.11 125.27 0.0
95.0 37.06 127.11 0.0
95.0 37.10 125.88 0.0
95.0 37.08 138.79 0.0
95.0 37.07 128.37 0.2
95.0 37.09 112.83 0.0
95.0 37.08 108.58 0.0
95.0 37.07 103.72 0.6
95.0 37.07 106.28 1.8
95.0 37.07 108.01 1.5
95.0 37.04 110.88 3.1
95.0 37.05 112.75 4.0
95.0 37.07 113.69 5.0
95.0 37.07 114.68 5.9
95.0 37.06 116.51 6.5
95.0 37.06 117.81 7.1
95.0 37.08 117.62 7.8
95.0 37.18 115.10 8.3
95.0 37.15 116.80 8.5
95.0 37.14 118.36 9.1
95.0 37.12 119.23 9.7
95.0 37.11 120.20 10.1
95.0 37.13 120.95 10.6
95.0 37.11 122.11 10.9
95.0 37.10 123.37 11.3
95.0 37.12 123.81 11.7
95.0 37.06 126.65 12.1
95.0 37.04 127.66 12.4
95.0 37.05 128.70 12.3
95.0 37.05 128.78 13.1
95.0 37.05 129.44 13.4
95.0 37.03 130.73 13.9
95.0 36.99 132.98 14.6
95.0 36.99 132.68 14.2
95.0 36.99 132.78 14.4
95.0 36.98 134.40 14.9
95.0 36.88 137.61 14.5
95.0 36.88 138.28 15.2
95.0 36.90 138.19 14.4
95.0 36.83 140.89 15.8
95.0 36.84 140.66 15.7
95.0 36.86 140.38 15.9
95.0 36.90 139.40 15.9
95.0 36.91 139.18 15.9
95.0 36.92 138.69 15.9
95.0 36.93 139.14 15.7
95.0 36.88 140.46 15.9
95.0 36.86 141.56 16.2
95.0 36.83 142.91 16.3
95.0 36.87 141.02 16.4
95.0 36.92 139.60 16.4
95.0 36.93 139.06 16.1
95.0 36.89 141.16 16.2
95.0 36.90 140.13 16.3
95.0 36.92 139.83 16.4
95.0 36.92 139.89 16.2
95.0 36.95 139.23 15.9
95.0 36.96 138.34 16.2
95.0 36.99 138.10 16.2
95.0 37.03 136.19 16.1
95.0 37.04 135.78 16.6
95.0 37.08 133.70 15.9
95.0 37.08 133.83 15.7
95.0 37.09 133.61 15.7
95.0 37.05 134.26 15.7
95.0 37.05 134.96 15.5
95.0 37.02 135.51 15.8
95.0 37.06 134.47 15.8
95.0 37.07 133.60 15.7
95.0 37.08 134.01 15.5
95.0 37.09 133.17 16.2
95.0 37.09 133.00 15.3
95.0 37.10 132.85 15.5
95.0 37.09 133.40 15.8
95.0 37.07 133.35 15.4
95.0 37.14 131.05 15.7
95.0 37.14 131.03 15.3
95.0 37.16 130.07 15.6
95.0 37.17 129.78 15.2
95.0 37.17 129.86 15.6
95.0 37.17 129.93 14.7
95.0 37.18 129.06 15.3
95.0 37.18 129.43 15.3
95.0 37.20 128.23 15.3
95.0 37.23 127.36 14.9
95.0 37.22 127.61 15.3
95.0 37.24 127.14 14.7
95.0 37.25 126.12 14.7
95.0 37.25 125.57 14.7
95.0 37.25 126.17 14.2
95.0 37.22 126.71 14.6
95.0 37.26 125.62 14.6
95.0 37.27 125.31 14.6
95.0 37.29 124.66 14.3
95.0 37.29 123.85 14.4
95.0 37.29 124.56 13.7
95.0 37.28 124.50 14.1
95.0 37.25 125.68 14.2
95.0 37.25 125.17 14.4
95.0 37.30 124.11 14.4
95.0 37.33 122.61 14.2
95.0 37.35 121.81 14.2
95.0 37.40 119.99 13.4
95.0 37.31 122.84 14.0
95.0 37.33 122.04 14.0
95.0 37.39 119.61 14.0
95.0 37.43 118.89 13.6
95.0 37.43 118.18 13.8
95.0 37.45 117.70 13.3
95.0 37.47 116.90 13.3
95.0 37.52 115.08 13.4
95.0 37.53 113.94 12.7
95.0 37.55 113.92 13.1
95.0 37.57 112.50 13.2
95.0 37.60 111.36 12.9
95.0 37.65 109.04 12.8
95.0 37.67 108.16 12.6
95.0 37.69 107.34 12.5
95.0 37.73 105.34 12.6
95.0 37.79 103.82 12.2
95.0 37.82 102.11 11.6
95.0 37.80 102.44 11.0
95.0 37.83 101.33 11.8
95.0 37.94 97.40 11.7
95.0 37.97 95.38 11.4
95.0 38.00 93.62 11.3
95.0 38.03 92.01 10.9
95.0 38.04 90.49 11.0
95.0 38.04 90.27 10.6
95.0 38.05 89.34 10.5
95.0 38.08 88.11 10.6
95.0 38.11 86.18 9.9
95.0 38.13 84.81 10.8
95.0 38.17 82.85 10.5
95.0 38.23 80.68 9.9
95.0 38.23 79.44 9.7
95.0 38.26 77.51 9.3
95.0 38.32 75.42 8.8
95.0 38.32 74.30 8.9
