55.0  -5.71 0.2
55.0 40.14 -13.14 0.2
55.0 40.15 -9.52 0.2
55.0 40.16 -13.44 0.1
55.0 40.19 -17.81 0.2
55.0 
55.0 40.18 -255.00 0.0
55.0 40.17 53.04 0.0
55.0 40.16 22.76 0.0
55.0 40.15 20.39 0.2
55.0 40.15 18.26 0.2
55.0 40.15 -9.01 0.5
55.0 40.16 -9.05 0.2
55.0 40.18 -17.68 0.5
55.0 40.15 1.71 0.5
55.0 40.14 -4.73 0.6
55.0 40.14 -4.68 0.3
55.0 40.15 -13.26 0.6
55.0 40.15 -6.23 0.4
55.0 40.13 -0.41 0.7
55.0 40.14 -9.10 0.6
55.0 40.13 -4.62 0.6
55.0 40.12 -1.43 0.9
55.0 40.14 -13.08 0.9
55.0 40.13 -5.03 0.5
55.0 40.14 -9.09 0.5
55.0 40.12 -0.93 0.5
55.0 40.13 -8.97 0.7
55.0 40.12 -4.55 0.7
55.0 40.13 -9.02 0.9
55.0 40.15 -13.24 0.8
55.0 40.13 -1.07 0.8
55.0 40.15 -13.24 0.9
55.0 40.13 -1.70 0.7
55.0 40.15 -13.24 0.9
55.0 40.15 -9.32 1.0
55.0 40.14 -0.46 0.9
55.0 40.12 -1.49 0.9
55.0 40.13 -8.79 0.8
55.0 40.12 -4.93 0.9
55.0 40.11 -0.76 1.5
55.0 40.11 -4.70 0.7
55.0 40.10 -4.37 0.9
55.0 40.09 -0.05 0.8
55.0 40.07 3.18 0.8
55.0 40.09 -12.97 0.2
55.0 40.08 -0.79 0.5
55.0 40.06 4.43 0.7
55.0 40.07 -8.30 1.0
55.0 40.06 -0.15 0.7
55.0 40.05 4.57 0.7
55.0 40.04 0.44 0.8
55.0 40.04 -3.80 0.6
55.0 40.04 0.46 0.6
55.0 40.02 4.80 0.6
55.0 40.02 0.78 0.8
55.0 40.00 4.69 0.5
55.0 40.01 -3.66 0.6
55.0 39.96 17.56 0.4
55.0 39.98 -3.09 0.4
55.0 39.99 -3.15 0.7
55.0 39.98 4.83 0.6
55.0 39.98 0.77 0.5
55.0 39.98 0.77 0.6
55.0 39.98 0.87 0.5
55.0 39.99 -3.65 0.5
55.0 40.01 -7.31 0.5
55.0 40.01 0.68 0.4
55.0 40.01 -3.67 0.5
55.0 40.01 0.61 0.7
55.0 39.95 22.88 0.3
55.0 39.95 4.95 0.9
55.0 39.92 13.89 0.7
55.0 39.94 -7.56 0.6
55.0 39.95 1.01 1.0
55.0 39.95 0.84 0.7
55.0 39.95 0.84 0.6
55.0 39.97 -3.73 0.6
55.0 39.97 0.83 0.6
55.0 39.96 4.92 0.5
55.0 39.95 5.13 0.5
55.0 39.95 0.84 0.6
55.0 39.95 5.11 0.5
55.0 39.96 -3.36 0.5
55.0 39.97 -3.07 0.3
55.0 39.94 13.40 0.5
55.0 39.92 9.05 0.6
55.0 39.94 -3.35 0.6
55.0 39.94 0.85 0.9
55.0 39.96 -3.36 0.5
55.0 39.96 0.84 0.5
55.0 39.96 0.95 0.5
55.0 39.96 0.72 0.6
55.0 39.97 0.73 0.4
55.0 39.96 5.03 1.1
55.0 39.97 -3.37 0.3
55.0 39.97 0.91 0.4
55.0 39.97 0.75 0.3
55.0 39.97 0.75 0.3
