95.0 55.00 0.0
95.0 40.22 255.00 0.0
95.0 40.23 255.00 0.0
95.0 40.23 255.00 0.0
95.0 40.28 255.00 0.0
95.0 
95.0 40.26 255.00 0.0
95.0 40.25 255.00 0.7
95.0 40.26 255.00 0.0
95.0 40.27 255.00 0.0
95.0 40.21 255.00 2.6
95.0 40.16 255.00 4.6
95.0 40.10 255.00 6.7
95.0 39.98 255.00 8.6
95.0 39.99 255.00 10.2
95.0 39.99 255.00 12.2
95.0 40.03 255.00 13.2
95.0 40.04 255.00 14.7
95.0 40.05 255.00 16.2
95.0 40.04 255.00 16.8
95.0 40.05 255.00 18.2
95.0 40.06 255.00 19.0
95.0 40.02 255.00 19.8
95.0 40.05 255.00 20.5
95.0 40.04 255.00 21.5
95.0 40.06 255.00 22.1
95.0 40.07 255.00 22.3
95.0 40.12 255.00 22.8
95.0 40.06 255.00 23.7
95.0 40.06 255.00 24.1
95.0 40.08 255.00 24.7
95.0 40.08 255.00 25.0
95.0 40.11 255.00 26.3
95.0 40.16 255.00 25.4
95.0 40.14 255.00 25.8
95.0 40.13 255.00 25.8
95.0 40.09 255.00 26.6
95.0 40.16 255.00 26.4
95.0 40.16 255.00 26.5
95.0 40.15 255.00 26.5
95.0 40.17 255.00 26.7
95.0 40.18 255.00 27.1
95.0 40.14 255.00 27.1
95.0 40.14 255.00 27.3
95.0 40.15 255.00 27.1
95.0 40.12 255.00 27.4
95.0 40.15 255.00 27.7
95.0 40.11 255.00 27.5
95.0 40.12 255.00 27.5
95.0 40.11 255.00 27.3
95.0 40.08 255.00 27.1
95.0 40.06 255.00 27.2
95.0 40.09 255.00 27.7
95.0 40.11 255.00 27.7
95.0 40.12 255.00 27.6
95.0 40.12 255.00 27.5
95.0 40.11 255.00 28.1
95.0 40.17 255.00 27.5
95.0 40.18 255.00 27.5
95.0 40.17 255.00 27.7
95.0 40.21 255.00 27.5
95.0 40.23 255.00 27.1
95.0 40.25 255.00 28.2
95.0 40.29 255.00 27.5
95.0 40.29 255.00 27.3
95.0 40.29 255.00 27.3
95.0 40.28 255.00 27.2
95.0 40.26 255.00 27.8
95.0 40.32 255.00 27.3
95.0 40.33 255.00 27.1
95.0 40.34 255.00 27.1
95.0 40.33 255.00 27.0
95.0 40.33 255.00 26.9
95.0 40.30 255.00 27.7
95.0 40.37 255.00 27.1
95.0 40.38 255.00 26.9
95.0 40.42 255.00 26.8
95.0 40.41 255.00 27.5
95.0 40.45 255.00 26.6
95.0 40.47 255.00 27.3
95.0 40.39 255.00 26.8
95.0 40.41 255.00 26.8
95.0 40.43 255.00 26.7
95.0 40.45 255.00 26.3
95.0 40.38 255.00 27.0
95.0 40.41 255.00 26.2
95.0 40.45 255.00 26.6
95.0 40.50 255.00 26.5
95.0 40.54 255.00 26.2
95.0 40.59 255.00 26.1
95.0 40.56 255.00 26.6
95.0 40.60 255.00 26.3
95.0 40.71 255.00 26.3
95.0 40.73 255.00 26.2
95.0 40.78 255.00 26.0
95.0 40.80 255.00 26.1
95.0 40.80 255.00 26.3
95.0 40.84 255.00 26.4
95.0 40.85 255.00 26.7
95.0 40.90 255.00 26.0
95.0 40.93 255.00 25.9
95.0 40.96 255.00 26.2
95.0 40.98 255.00 26.0
95.0 41.08 255.00 25.7
95.0 41.14 255.00 25.2
95.0 41.21 255.00 25.4
