72.0  255.00 0.0
72.0 27.05 255.00 0.0
72.0 27.05 255.00 0.0
72.0 27.03 255.00 0.0
72.0 27.03 255.00 0.0
72.0 27.02 255.00 0.0
72.0 27.02 255.00 0.4
72.0 27.02 255.00 0.4
72.0 27.00 255.00 2.3
72.0 27.02 255.00 4.8
72.0 27.03 255.00 7.1
72.0 27.05 255.00 8.6
72.0 27.05 255.00 10.6
72.0 27.05 255.00 12.3
72.0 27.04 255.00 12.9
72.0 27.04 255.00 15.2
72.0 27.04 255.00 16.7
72.0 27.03 255.00 17.7
72.0 27.04 255.00 18.9
72.0 27.09 255.00 19.8
72.0 27.09 255.00 20.8
72.0 27.06 255.00 21.5
72.0 27.05 255.00 22.4
72.0 27.06 255.00 22.6
72.0 27.01 255.00 23.7
72.0 27.03 255.00 24.3
72.0 27.01 255.00 24.5
72.0 26.95 255.00 25.3
72.0 26.89 255.00 26.0
72.0 26.85 255.00 26.6
72.0 26.86 255.00 26.5
72.0 26.89 255.00 26.5
72.0 26.93 255.00 28.0
72.0 26.95 255.00 27.4
72.0 26.96 255.00 27.8
72.0 26.96 255.00 28.0
72.0 26.98 255.00 28.0
72.0 26.98 255.00 28.0
72.0 27.00 255.00 28.0
72.0 27.00 255.00 28.4
72.0 27.02 255.00 28.6
72.0 27.02 255.00 28.8
72.0 27.04 255.00 28.8
72.0 27.05 255.00 28.8
72.0 27.02 255.00 29.3
72.0 27.00 255.00 29.0
72.0 27.01 255.00 29.3
72.0 27.04 255.00 29.0
72.0 27.03 255.00 29.1
72.0 27.03 255.00 29.2
72.0 27.00 255.00 29.4
72.0 27.02 255.00 28.0
72.0 27.05 255.00 29.1
72.0 27.06 255.00 29.4
72.0 27.04 255.00 28.8
72.0 27.01 255.00 29.2
72.0 27.04 255.00 29.2
72.0 27.09 255.00 29.8
72.0 27.07 255.00 29.2
72.0 27.09 255.00 29.1
72.0 27.15 255.00 29.3
72.0 27.12 255.00 29.6
72.0 27.07 255.00 29.1
72.0 27.03 255.00 28.9
72.0 27.03 255.00 28.7
72.0 27.03 255.00 29.6
72.0 27.06 255.00 29.0
72.0 27.10 255.00 28.6
72.0 27.09 255.00 29.0
72.0 27.07 255.00 28.8
72.0 27.10 255.00 28.6
72.0 27.12 255.00 28.9
72.0 27.15 255.00 28.0
72.0 27.20 255.00 28.6
72.0 27.24 255.00 28.4
72.0 27.26 255.00 28.6
72.0 27.30 255.00 28.0
72.0 27.32 255.00 28.4
72.0 27.35 255.00 28.4
72.0 27.42 255.00 28.2
72.0 27.48 255.00 28.2
72.0 27.51 255.00 28.3
72.0 27.54 255.00 28.4
72.0 27.56 255.00 28.4
72.0 27.59 255.00 27.9
