95.0 54.76 0.0
95.0 65.08 254.77 0.0
95.0 65.06 254.78 0.0
95.0 65.04 254.79 0.0
95.0 65.09 254.80 0.0
95.0 
95.0 65.03 254.81 0.0
95.0 65.06 246.63 0.0
95.0 64.91 247.05 0.0
95.0 64.85 247.45 0.0
95.0 64.87 247.82 2.6
95.0 64.87 248.18 4.3
95.0 64.86 248.52 5.8
95.0 64.80 248.85 8.0
95.0 64.76 249.15 9.3
95.0 64.75 249.45 10.3
95.0 64.65 249.72 12.0
95.0 64.73 249.99 13.3
95.0 64.73 250.24 14.5
95.0 64.71 250.48 16.6
95.0 64.61 250.70 16.8
95.0 64.64 250.92 17.0
95.0 64.55 251.12 18.2
95.0 64.57 251.32 18.9
95.0 64.60 251.50 19.5
95.0 64.55 251.68 20.0
95.0 64.59 251.84 20.2
95.0 64.54 252.00 21.0
95.0 64.56 252.15 21.5
95.0 64.57 252.29 22.0
95.0 64.74 252.43 22.4
95.0 64.72 252.56 23.4
95.0 64.66 252.68 22.9
95.0 64.67 252.79 23.4
95.0 64.52 252.90 23.7
95.0 64.52 253.01 23.7
95.0 64.58 253.11 24.1
95.0 64.61 253.20 23.8
95.0 64.60 253.29 24.0
95.0 64.40 253.38 24.8
95.0 64.41 253.46 24.8
95.0 64.48 253.54 24.8
95.0 64.56 253.61 24.9
95.0 64.60 253.68 24.5
95.0 64.59 253.75 24.5
95.0 64.56 253.81 25.2
95.0 64.63 253.87 25.1
95.0 64.68 253.92 25.2
95.0 64.66 253.98 25.9
95.0 64.67 254.03 25.4
95.0 64.71 254.08 25.1
95.0 64.67 254.12 25.2
95.0 64.52 254.17 25.4
95.0 64.50 254.21 26.0
95.0 64.52 254.25 25.3
95.0 64.52 254.29 25.2
95.0 64.46 254.32 25.4
95.0 64.57 254.36 25.4
95.0 64.62 254.39 24.3
95.0 64.63 254.42 25.4
95.0 64.83 254.45 25.8
95.0 64.86 254.48 25.2
95.0 64.66 254.50 25.2
95.0 64.70 254.53 24.6
95.0 64.72 254.55 25.2
95.0 64.72 254.57 25.7
95.0 64.74 254.59 25.0
95.0 64.73 254.61 25.2
95.0 64.75 254.63 24.9
95.0 64.76 254.65 24.8
95.0 64.80 254.67 24.8
95.0 64.93 254.69 25.1
95.0 64.96 254.70 26.0
95.0 65.03 254.72 24.7
95.0 64.85 254.73 25.2
95.0 64.95 254.74 24.8
95.0 64.89 254.76 24.8
95.0 64.89 254.77 24.5
95.0 64.89 254.78 25.3
95.0 64.89 254.79 24.5
95.0 64.82 254.80 24.7
95.0 64.84 254.81 25.6
95.0 64.95 254.82 24.3
95.0 64.96 254.83 24.9
95.0 65.02 254.84 24.5
95.0 64.98 254.85 24.5
95.0 64.99 254.85 24.4
95.0 64.93 254.86 24.5
95.0 65.08 254.87 24.3
95.0 65.20 254.88 24.4
95.0 65.15 254.88 24.1
95.0 65.19 254.89 24.9
95.0 65.30 254.89 24.1
95.0 65.50 254.90 24.1
95.0 65.44 254.90 23.7
95.0 65.40 254.91 24.7
95.0 65.43 254.91 24.3
95.0 65.42 254.92 23.9
95.0 65.47 254.92 24.5
95.0 65.49 254.93 24.2
95.0 65.61 254.93 23.9
95.0 65.80 254.93 23.9
