95.0 61.55 255.00 22.0
95.0 61.68 255.00 21.9
95.0 61.83 255.00 22.0
95.0 61.91 255.00 21.9
95.0 62.08 255.00 21.7
95.0 62.11 255.00 21.8
95.0 62.11 255.00 21.9
95.0 62.07 255.00 22.0
95.0 62.08 255.00 22.0
95.0 62.11 255.00 21.9
95.0 62.18 255.00 22.0
95.0 62.32 255.00 22.4
95.0 62.37 255.00 21.9
95.0 62.42 255.00 22.0
95.0 62.53 255.00 22.1
95.0 62.60 255.00 21.9
95.0 62.71 255.00 22.1
95.0 62.93 255.00 21.9
95.0 63.09 255.00 21.8
95.0 63.31 255.00 21.6
95.0 63.37 255.00 21.3
95.0 63.45 255.00 21.8
95.0 63.59 255.00 20.9
95.0 63.70 255.00 21.7
95.0 63.78 255.00 21.6
95.0 63.84 255.00 21.2
95.0 63.90 255.00 21.5
95.0 63.93 255.00 20.9
95.0 64.00 255.00 21.6
95.0 64.00 255.00 21.4
95.0 64.13 255.00 21.4
95.0 64.19 255.00 21.3
95.0 64.18 255.00 21.9
95.0 64.19 255.00 21.7
95.0 64.17 255.00 21.7
95.0 64.24 255.00 21.5
95.0 64.29 255.00 21.5
95.0 64.31 255.00 21.1
95.0 64.29 255.00 21.5
95.0 64.29 255.00 21.6
95.0 64.34 255.00 21.7
95.0 64.45 255.00 21.6
95.0 64.51 255.00 21.9
95.0 64.61 255.00 21.5
95.0 64.74 255.00 21.4
95.0 65.06 255.00 21.7
95.0 65.18 255.00 21.7
95.0 65.27 255.00 21.7
95.0 65.42 255.00 22.0
95.0 65.44 255.00 21.4
95.0 65.41 255.00 21.6
95.0 65.50 255.00 21.7
95.0 65.62 255.00 21.5
95.0 65.68 255.00 21.7
95.0 65.72 255.00 21.3
95.0 65.70 255.00 21.3
95.0 65.80 255.00 21.1
95.0 65.89 255.00 21.1
95.0 65.93 255.00 20.9
95.0 65.89 255.00 21.1
95.0 65.93 255.00 21.3
95.0 65.82 255.00 21.0
95.0 65.95 255.00 20.9
95.0 66.03 255.00 21.1
95.0 66.03 255.00 20.7
95.0 66.16 255.00 21.0
95.0 66.23 255.00 21.2
95.0 66.34 255.00 20.7
95.0 66.44 255.00 20.9
95.0 66.45 255.00 21.4
95.0 66.51 255.00 21.2
95.0 66.51 255.00 21.4
95.0 66.67 255.00 21.6
95.0 66.82 255.00 21.3
95.0 66.87 255.00 20.7
95.0 66.94 255.00 21.1
95.0 67.02 255.00 21.1
95.0 67.29 255.00 20.9
95.0 67.39 255.00 20.9
95.0 67.43 255.00 20.9
95.0 67.46 255.00 20.9
95.0 67.51 255.00 21.1
95.0 67.55 255.00 21.3
95.0 67.74 255.00 21.0
95.0 67.83 255.00 21.1
95.0 67.80 255.00 21.0
95.0 67.86 255.00 21.1
95.0 67.78 255.00 21.2
95.0 67.91 255.00 21.3
95.0 68.06 255.00 21.1
95.0 68.09 255.00 20.5
95.0 68.23 255.00 20.8
95.0 68.47 255.00 20.8
95.0 68.61 255.00 20.7
95.0 68.68 255.00 20.8
95.0 68.85 255.00 21.1
95.0 69.11 255.00 20.8
95.0 69.33 255.00 20.8
95.0 69.55 255.00 20.8
95.0 69.63 255.00 21.5
95.0 69.75 255.00 21.3
95.0 69.84 255.00 21.2
95.0 69.91 255.00 21.0
95.0 69.98 255.00 20.9
95.0 70.00 255.00 21.3
95.0 70.06 255.00 21.0
95.0 70.04 255.00 20.8
95.0 70.08 255.00 20.8
95.0 70.02 255.00 20.9
95.0 70.10 255.00 20.9
95.0 70.19 255.00 20.6
95.0 70.21 255.00 20.4
95.0 70.14 255.00 20.7
95.0 70.18 255.00 20.7
95.0 70.18 255.00 20.7
95.0 70.24 255.00 20.2
95.0 70.33 255.00 20.6
95.0 70.57 255.00 20.2
95.0 70.73 255.00 20.7
95.0 70.96 255.00 20.5
95.0 71.06 255.00 20.8
95.0 71.13 255.00 20.9
95.0 71.29 255.00 21.3
95.0 71.39 255.00 20.7
95.0 71.43 255.00 20.7
95.0 71.48 255.00 20.9
95.0 71.56 255.00 20.5
95.0 71.58 255.00 20.5
95.0 71.48 255.00 20.7
95.0 71.49 255.00 20.5
95.0 71.40 255.00 20.7
95.0 71.51 255.00 20.7
95.0 71.60 255.00 20.6
95.0 71.57 255.00 20.8
95.0 71.62 255.00 20.5
95.0 71.61 255.00 20.7
95.0 71.72 255.00 20.8
95.0 71.82 255.00 20.2
95.0 71.84 255.00 20.0
95.0 71.93 255.00 20.5
95.0 72.01 255.00 20.4
95.0 72.23 255.00 20.7
95.0 72.38 255.00 20.7
95.0 72.56 255.00 21.0
95.0 72.66 255.00 20.7
95.0 72.84 255.00 20.6
95.0 72.93 255.00 20.2
95.0 73.03 255.00 20.7
95.0 73.15 255.00 20.8
95.0 73.39 255.00 20.4
95.0 73.55 255.00 20.6
95.0 73.59 255.00 20.5
95.0 73.63 255.00 20.9
95.0 73.74 255.00 20.7
95.0 73.87 255.00 21.1
95.0 73.85 255.00 20.4
95.0 73.74 255.00 20.7
95.0 73.79 255.00 20.9
95.0 73.89 255.00 20.5
95.0 74.00 255.00 21.0
95.0 74.05 255.00 20.4
95.0 74.25 255.00 20.5
95.0 74.27 255.00 20.5
95.0 74.32 255.00 20.6
95.0 74.49 255.00 21.1
95.0 74.55 255.00 20.4
95.0 74.62 255.00 20.3
95.0 74.68 255.00 20.0
95.0 74.64 255.00 20.4
95.0 74.67 255.00 20.4
95.0 74.90 255.00 20.3
95.0 75.07 255.00 20.4
95.0 75.36 255.00 20.2
95.0 75.43 255.00 20.4
95.0 75.44 255.00 20.0
95.0 75.37 255.00 20.3
95.0 75.50 255.00 20.1
95.0 75.78 255.00 20.0
95.0 75.78 255.00 20.1
95.0 75.75 255.00 19.9
95.0 75.68 255.00 20.2
95.0 75.61 255.00 20.4
95.0 75.42 255.00 20.4
95.0 75.51 255.00 20.6
95.0 75.57 255.00 20.5
95.0 75.79 255.00 20.9
95.0 75.79 255.00 20.2
95.0 75.82 255.00 20.5
95.0 75.92 255.00 20.8
95.0 75.99 255.00 20.4
95.0 76.17 255.00 21.1
95.0 76.24 255.00 20.5
95.0 76.36 255.00 20.2
95.0 76.41 255.00 20.5
95.0 76.46 255.00 20.2
95.0 76.37 255.00 20.2
95.0 76.50 255.00 20.2
95.0 76.71 255.00 20.1
95.0 76.81 255.00 19.8
95.0 76.85 255.00 20.0
95.0 76.88 255.00 19.7
95.0 76.94 255.00 20.2
95.0 76.82 255.00 20.3
95.0 76.89 255.00 20.5
95.0 76.94 255.00 20.4
95.0 76.88 255.00 20.1
95.0 77.11 255.00 20.0
95.0 77.20 255.00 20.0
95.0 77.31 255.00 20.5
95.0 77.35 255.00 20.2
95.0 77.39 255.00 20.5
95.0 77.42 255.00 20.2
95.0 77.69 255.00 20.1
95.0 77.78 255.00 19.9
95.0 77.89 255.00 19.7
95.0 77.87 255.00 19.1
95.0 77.89 255.00 20.2
95.0 77.79 255.00 20.2
95.0 77.90 255.00 19.9
95.0 78.03 255.00 20.2
95.0 78.08 255.00 19.4
95.0 78.22 255.00 20.1
95.0 78.35 255.00 20.0
95.0 78.40 255.00 20.4
95.0 78.48 255.00 20.4
95.0 78.70 255.00 20.2
95.0 78.81 255.00 19.9
95.0 79.06 255.00 19.9
95.0 79.04 255.00 19.7
95.0 79.00 255.00 19.7
95.0 78.84 255.00 20.1
95.0 78.88 255.00 20.1
e 9.209190368652344
