55.0  -3.90 0.3
55.0 55.05 -3.59 0.3
55.0 55.03 26.68 0.3
55.0 55.01 53.99 0.5
55.0 55.00 2.64 0.1
55.0 
55.0 54.96 84.69 0.0
55.0 54.95 19.18 0.0
55.0 54.95 8.94 0.0
55.0 54.95 15.67 0.0
55.0 54.96 -22.54 0.0
55.0 54.92 11.82 0.3
55.0 54.89 11.45 0.2
55.0 54.89 3.91 0.5
55.0 54.90 3.42 0.3
55.0 54.93 -4.00 0.5
55.0 54.94 -0.82 0.2
55.0 54.91 11.25 0.5
55.0 54.89 7.63 0.2
55.0 54.91 -0.85 0.5
55.0 54.90 7.56 0.3
55.0 54.90 3.41 0.2
55.0 54.90 3.62 0.3
55.0 54.90 3.61 0.5
55.0 54.90 3.37 0.4
55.0 54.93 -4.61 0.7
55.0 54.93 3.33 0.3
55.0 54.94 -1.15 0.3
55.0 54.94 3.17 0.3
55.0 54.91 11.55 0.4
55.0 54.91 3.88 0.2
55.0 54.91 3.31 0.4
55.0 54.91 3.31 0.3
55.0 54.91 3.49 0.3
55.0 54.91 3.49 0.5
55.0 54.94 -4.71 0.3
55.0 54.95 -0.95 0.5
55.0 54.95 2.99 0.4
55.0 54.94 3.11 0.5
55.0 54.94 3.01 0.5
55.0 54.92 7.19 0.4
55.0 54.92 3.19 0.1
55.0 54.92 3.34 0.6
55.0 54.90 7.42 0.7
55.0 54.91 3.33 0.3
55.0 54.88 11.65 0.3
55.0 54.85 11.95 0.9
55.0 54.84 8.23 0.6
55.0 54.83 8.34 0.3
55.0 54.84 3.92 0.4
55.0 54.83 8.57 0.5
55.0 54.84 3.92 0.7
55.0 54.83 8.12 0.4
55.0 54.84 4.36 0.3
55.0 54.86 0.18 0.5
55.0 54.84 12.18 0.5
55.0 54.85 4.70 1.1
55.0 54.85 3.82 0.5
55.0 54.81 16.18 0.6
55.0 54.81 8.66 0.5
55.0 54.82 4.13 0.6
55.0 54.86 -3.67 0.3
55.0 54.86 4.41 0.6
55.0 54.93 -12.43 0.5
55.0 54.91 7.30 0.5
55.0 54.93 -0.64 0.8
55.0 54.94 -0.51 0.6
55.0 54.92 7.20 0.5
55.0 54.92 3.33 0.2
55.0 54.89 11.47 0.5
55.0 54.85 15.62 0.6
55.0 54.87 0.10 0.7
55.0 54.81 20.57 0.6
55.0 54.82 5.52 0.7
55.0 54.83 4.00 1.0
55.0 54.87 -3.83 0.7
55.0 54.87 3.93 0.7
55.0 54.86 7.95 0.9
55.0 54.88 -0.08 0.6
55.0 54.92 -4.41 0.5
55.0 54.90 7.47 0.9
55.0 54.89 7.65 0.3
55.0 54.87 7.74 0.9
55.0 54.86 7.96 0.9
55.0 54.85 7.94 0.5
55.0 54.80 20.03 0.4
55.0 54.78 12.87 0.8
55.0 54.78 9.03 0.9
55.0 54.79 4.98 0.4
55.0 54.80 4.83 0.5
55.0 54.82 4.69 0.7
55.0 54.81 8.34 0.8
55.0 54.81 8.38 0.7
55.0 54.82 5.19 0.8
55.0 54.83 4.07 0.7
55.0 54.85 -0.29 1.1
55.0 54.83 12.35 0.7
55.0 54.80 12.69 0.8
55.0 54.80 9.11 0.9
55.0 54.81 4.20 0.7
55.0 54.79 12.61 0.9
55.0 54.77 13.43 0.7
55.0 54.76 13.17 0.8
55.0 54.77 5.88 1.0
55.0 54.76 12.93 0.9
55.0 54.76 10.29 1.1
55.0 54.76 9.30 1.1
55.0 54.74 13.05 0.9
55.0 54.66 32.81 1.1
55.0 54.70 2.30 1.2
55.0 54.72 5.92 1.1
55.0 54.75 0.59 1.0
55.0 54.75 9.35 1.0
55.0 54.77 5.27 1.1
55.0 54.73 21.40 1.0
55.0 54.73 10.27 0.8
55.0 54.76 2.38 1.3
55.0 54.79 0.24 1.0
55.0 54.82 0.75 0.9
55.0 54.83 4.04 0.9
55.0 54.84 4.85 0.9
55.0 54.83 8.16 1.0
55.0 54.82 8.22 0.8
55.0 54.85 0.39 0.9
55.0 54.82 12.34 0.7
55.0 54.82 8.55 0.8
55.0 54.86 -3.64 0.7
55.0 54.86 4.09 0.8
55.0 54.88 0.43 0.8
55.0 54.87 7.79 0.9
55.0 54.86 7.88 0.7
55.0 54.86 4.06 0.9
55.0 54.85 8.07 0.5
55.0 54.85 8.19 0.5
55.0 54.85 3.83 0.7
55.0 54.84 8.03 1.0
55.0 54.83 8.55 0.7
55.0 54.80 16.65 0.7
55.0 54.74 24.69 0.9
55.0 54.74 9.56 1.1
55.0 54.74 9.53 1.1
55.0 54.74 9.50 0.7
55.0 54.75 8.94 0.9
55.0 54.70 21.58 1.2
55.0 54.71 10.60 0.5
55.0 54.71 9.87 0.9
55.0 54.72 9.81 1.1
55.0 54.80 -12.33 1.1
55.0 54.78 13.57 1.3
55.0 54.75 17.15 1.3
55.0 54.79 -2.85 1.2
55.0 54.78 13.15 1.3
55.0 54.78 9.52 1.1
55.0 54.77 9.10 1.0
55.0 54.79 4.42 1.2
55.0 54.79 8.96 1.1
55.0 54.78 8.99 1.2
55.0 54.78 8.60 1.0
55.0 54.78 9.03 0.8
55.0 54.75 17.15 0.9
55.0 54.73 13.47 1.1
55.0 54.77 2.30 1.3
55.0 54.77 8.73 1.1
55.0 54.80 1.83 1.1
55.0 54.87 -12.97 1.0
55.0 54.87 4.27 1.1
55.0 54.83 16.08 1.2
55.0 54.82 8.71 0.8
55.0 54.82 8.53 1.1
55.0 54.80 12.55 1.0
55.0 54.77 16.94 1.0
55.0 54.78 6.39 0.8
55.0 54.78 8.63 1.0
55.0 54.79 5.00 1.1
55.0 54.77 12.78 0.6
55.0 54.77 9.56 1.1
55.0 54.77 9.13 1.2
55.0 54.77 8.70 1.4
55.0 54.77 9.15 0.9
55.0 54.77 9.16 1.3
55.0 54.75 12.96 1.1
55.0 54.74 13.74 0.7
55.0 54.73 13.57 0.7
55.0 54.75 7.06 1.0
55.0 54.73 13.16 1.1
55.0 54.74 9.59 1.0
55.0 54.75 5.49 0.9
55.0 54.74 13.41 0.9
55.0 54.74 10.06 1.1
55.0 54.74 9.49 1.1
55.0 54.82 -12.54 0.9
55.0 54.83 5.85 1.1
55.0 54.82 8.22 1.1
55.0 54.80 12.61 1.0
55.0 54.81 5.23 1.3
55.0 54.78 16.83 1.1
55.0 54.73 21.12 0.9
55.0 54.75 5.52 0.9
55.0 54.77 5.99 0.9
55.0 54.77 8.74 1.2
55.0 54.77 8.74 1.2
55.0 54.77 9.21 1.1
55.0 54.77 9.21 1.4
55.0 54.78 5.14 1.5
55.0 54.78 8.63 1.1
55.0 54.79 4.38 1.1
55.0 54.83 -2.47 1.1
55.0 54.80 16.53 1.0
55.0 54.79 9.22 0.4
55.0 54.81 4.26 0.7
55.0 54.79 12.81 1.1
55.0 54.80 5.47 0.9
55.0 54.84 -4.36 0.8
55.0 54.85 4.68 1.0
55.0 54.84 8.27 0.9
55.0 54.88 -4.69 1.1
55.0 54.83 15.83 0.7
55.0 54.83 8.41 0.7
55.0 54.85 0.94 0.7
55.0 54.84 8.04 0.9
55.0 54.83 8.11 0.9
55.0 54.84 4.35 0.5
55.0 54.85 4.26 0.7
55.0 54.86 4.18 0.7
55.0 54.86 3.74 1.0
55.0 54.90 -4.87 0.7
55.0 54.82 22.77 0.7
55.0 54.82 8.54 0.7
55.0 54.77 20.74 0.9
55.0 54.78 5.12 0.9
55.0 54.80 4.95 0.9
55.0 54.79 8.87 0.8
55.0 54.79 8.53 0.7
55.0 54.86 -11.57 0.8
55.0 54.90 -2.87 1.0
55.0 54.88 7.71 1.1
55.0 54.92 -4.40 1.1
55.0 54.92 3.57 0.6
55.0 54.91 3.41 0.8
