95.0  255.00 0.0
95.0 79.80 255.00 0.0
95.0 79.83 255.00 0.0
95.0 79.83 255.00 0.3
95.0 
95.0 79.73 255.00 0.0
95.0 79.68 255.00 0.3
95.0 79.57 255.00 0.0
95.0 79.78 -255.00 0.2
95.0 79.63 255.00 2.6
95.0 79.64 255.00 4.1
95.0 79.78 255.00 5.7
95.0 79.75 255.00 6.3
95.0 79.66 255.00 9.4
95.0 79.50 255.00 10.1
95.0 79.53 255.00 12.0
95.0 79.46 255.00 13.1
95.0 79.49 255.00 14.8
95.0 79.35 255.00 14.6
95.0 79.42 255.00 15.8
95.0 79.49 255.00 16.2
95.0 79.51 255.00 17.9
95.0 79.54 255.00 18.1
95.0 79.50 255.00 18.9
95.0 79.75 255.00 19.2
95.0 79.55 255.00 20.2
95.0 79.48 255.00 20.3
95.0 79.28 255.00 20.7
95.0 79.39 255.00 21.4
95.0 79.40 255.00 21.7
95.0 79.44 255.00 22.3
95.0 79.35 255.00 21.9
95.0 79.39 255.00 22.6
95.0 79.40 255.00 23.4
95.0 79.32 255.00 22.5
95.0 79.49 255.00 23.0
95.0 79.49 255.00 23.4
95.0 79.31 255.00 23.7
95.0 79.42 255.00 23.5
95.0 79.49 255.00 23.8
95.0 79.25 255.00 23.9
95.0 79.43 255.00 23.8
95.0 79.43 255.00 24.1
95.0 79.21 255.00 24.0
95.0 79.48 255.00 24.7
95.0 79.48 255.00 24.1
95.0 79.45 255.00 23.7
95.0 79.52 255.00 24.8
95.0 79.57 255.00 24.3
95.0 79.59 255.00 23.9
95.0 79.61 255.00 24.6
95.0 79.54 255.00 24.4
95.0 79.53 255.00 24.4
95.0 79.50 255.00 24.6
95.0 79.56 255.00 24.3
95.0 79.61 255.00 25.0
95.0 79.48 255.00 24.9
95.0 79.60 255.00 24.4
95.0 79.44 255.00 25.0
95.0 79.47 255.00 24.0
95.0 79.45 255.00 24.5
95.0 79.45 255.00 23.3
95.0 79.54 255.00 24.6
95.0 79.45 255.00 24.2
95.0 79.48 255.00 24.8
95.0 79.57 255.00 23.7
95.0 79.68 255.00 24.1
95.0 79.72 255.00 24.5
95.0 79.55 255.00 23.6
95.0 79.67 255.00 24.2
95.0 79.68 255.00 23.5
95.0 79.69 255.00 23.9
95.0 79.73 255.00 24.0
95.0 79.70 255.00 23.4
95.0 79.77 255.00 24.1
95.0 79.86 255.00 23.8
95.0 79.80 255.00 23.7
95.0 79.89 255.00 24.1
95.0 79.87 255.00 23.7
95.0 79.75 255.00 23.6
95.0 79.97 255.00 24.1
95.0 80.01 255.00 23.7
95.0 79.81 255.00 23.4
95.0 79.96 255.00 23.9
95.0 80.00 255.00 23.7
95.0 80.01 255.00 23.2
95.0 79.96 255.00 23.6
95.0 80.00 255.00 24.4
95.0 80.04 255.00 23.3
95.0 79.95 255.00 23.3
95.0 80.03 255.00 23.0
95.0 80.16 255.00 23.7
95.0 80.24 255.00 23.4
95.0 80.08 255.00 23.5
95.0 79.90 255.00 23.0
95.0 79.92 255.00 23.2
95.0 79.87 255.00 23.0
95.0 79.93 255.00 23.1
95.0 80.03 255.00 23.2
95.0 80.26 255.00 23.5
95.0 80.37 255.00 23.2
95.0 80.40 255.00 23.4
95.0 80.49 255.00 23.0
95.0 80.51 255.00 23.0
95.0 80.59 255.00 23.2
95.0 80.60 255.00 22.8
95.0 80.58 255.00 23.4
95.0 80.56 255.00 23.0
95.0 80.61 255.00 22.8
95.0 80.52 255.00 23.1
95.0 80.39 255.00 22.8
95.0 80.52 255.00 23.1
95.0 80.63 255.00 23.2
95.0 80.76 255.00 22.8
95.0 80.88 255.00 22.6
95.0 80.99 255.00 22.8
95.0 81.09 255.00 22.5
95.0 81.34 255.00 22.3
95.0 81.50 255.00 22.5
95.0 81.48 255.00 21.8
95.0 81.60 255.00 21.9
95.0 81.67 255.00 22.3
95.0 81.54 255.00 22.0
95.0 81.61 255.00 22.1
95.0 81.58 255.00 21.7
95.0 81.43 255.00 22.5
95.0 81.36 255.00 22.1
95.0 81.45 255.00 22.6
95.0 81.57 255.00 22.2
95.0 81.67 255.00 22.1
95.0 81.77 255.00 21.7
95.0 81.85 255.00 22.0
95.0 81.86 255.00 22.4
95.0 81.84 255.00 22.2
95.0 81.92 255.00 22.0
95.0 82.16 255.00 21.8
95.0 82.30 255.00 21.9
95.0 82.33 255.00 21.9
95.0 82.30 255.00 22.2
95.0 82.33 255.00 21.9
95.0 82.53 255.00 21.7
95.0 82.60 255.00 21.9
95.0 82.60 255.00 22.2
95.0 82.77 255.00 21.9
95.0 82.82 255.00 21.1
95.0 82.67 255.00 21.6
95.0 82.80 255.00 21.7
95.0 83.02 255.00 21.5
95.0 82.85 255.00 21.8
95.0 83.07 255.00 21.2
95.0 83.06 255.00 21.3
95.0 83.05 255.00 21.7
95.0 83.35 255.00 21.4
95.0 83.41 255.00 21.5
95.0 83.40 255.00 21.4
95.0 83.45 255.00 21.4
95.0 83.47 255.00 22.1
95.0 83.70 255.00 21.0
95.0 83.72 255.00 21.5
95.0 84.11 255.00 21.1
95.0 84.23 255.00 21.6
95.0 84.24 255.00 21.1
95.0 84.18 255.00 21.4
95.0 84.16 255.00 21.3
95.0 84.14 255.00 21.1
95.0 84.15 255.00 21.3
95.0 84.13 255.00 21.5
95.0 84.26 255.00 21.3
95.0 84.33 255.00 21.8
95.0 84.47 255.00 21.2
95.0 84.45 255.00 21.9
95.0 84.69 255.00 20.7
95.0 84.65 255.00 21.7
95.0 85.02 255.00 20.9
95.0 85.17 255.00 21.3
95.0 85.22 255.00 21.1
95.0 85.24 255.00 21.1
95.0 85.28 255.00 22.0
95.0 85.48 255.00 20.7
95.0 85.54 255.00 21.2
95.0 85.78 255.00 21.1
95.0 85.81 255.00 20.9
95.0 85.69 255.00 21.3
95.0 86.04 255.00 20.9
95.0 85.97 255.00 20.5
95.0 85.95 255.00 21.0
95.0 85.93 255.00 20.4
95.0 85.80 255.00 21.3
95.0 85.94 255.00 20.8
95.0 85.92 255.00 20.6
95.0 85.93 255.00 20.7
95.0 86.02 255.00 21.2
95.0 86.03 255.00 20.7
95.0 86.07 255.00 20.4
95.0 86.07 255.00 21.0
95.0 86.19 255.00 20.2
95.0 86.25 255.00 21.2
95.0 86.27 255.00 20.9
95.0 86.68 255.00 20.9
95.0 86.73 255.00 20.7
95.0 86.56 255.00 20.7
95.0 86.86 255.00 20.7
95.0 86.97 255.00 21.0
95.0 87.03 255.00 20.5
95.0 87.09 255.00 20.1
95.0 87.06 255.00 20.8
95.0 87.23 255.00 21.1
95.0 87.50 243.35 20.3
95.0 87.63 255.00 20.4
95.0 87.86 240.15 20.2
95.0 88.03 255.00 20.4
95.0 88.27 221.99 20.2
95.0 88.16 255.00 20.2
95.0 88.30 250.63 20.0
95.0 88.23 255.00 20.1
95.0 88.24 255.00 20.0
95.0 88.33 255.00 20.3
95.0 88.42 255.00 20.8
95.0 88.57 233.85 20.0
95.0 88.67 255.00 20.4
95.0 88.84 216.88 19.8
95.0 88.91 255.00 19.9
95.0 89.06 229.13 20.2
