72.0  15.24 0.0
72.0 71.76 15.45 0.0
72.0 71.62 31.46 0.2
72.0 71.59 27.78 0.0
72.0 71.54 29.14 0.0
72.0 
72.0 71.49 142.07 0.0
72.0 71.38 198.54 0.0
72.0 71.23 226.77 0.0
72.0 71.17 180.54 0.0
72.0 71.11 133.20 1.3
72.0 71.08 89.29 1.5
72.0 71.08 62.84 1.6
72.0 71.01 59.10 2.5
72.0 71.01 50.20 3.0
72.0 70.93 56.28 3.3
72.0 70.99 42.22 3.0
72.0 70.97 43.03 3.0
72.0 71.00 39.54 3.0
72.0 70.99 41.61 3.5
72.0 70.95 45.90 3.1
72.0 70.96 44.15 3.9
72.0 70.97 40.99 3.4
72.0 70.95 43.48 3.3
72.0 70.99 37.47 3.5
72.0 70.88 53.58 3.5
72.0 70.88 50.42 4.3
72.0 70.87 47.78 4.2
72.0 70.87 47.60 3.8
72.0 70.84 50.56 4.4
72.0 70.91 40.00 3.8
72.0 70.90 42.38 4.2
72.0 70.76 62.26 4.4
72.0 70.79 54.01 4.1
72.0 70.77 53.24 4.6
72.0 70.87 38.74 4.6
72.0 70.93 33.88 5.0
72.0 70.99 29.56 5.2
72.0 70.98 37.59 4.9
72.0 71.01 34.40 4.3
72.0 71.13 22.85 4.1
72.0 71.17 22.91 4.1
72.0 71.09 38.61 3.8
72.0 71.14 32.17 3.9
72.0 71.08 40.88 3.8
72.0 71.17 27.13 3.8
72.0 71.14 34.41 3.9
72.0 71.04 47.98 3.7
72.0 71.07 40.33 4.3
72.0 71.02 44.80 3.8
72.0 70.98 48.06 4.3
72.0 70.98 43.91 4.5
72.0 70.97 44.83 4.3
72.0 70.86 56.96 4.8
72.0 70.88 47.94 4.5
72.0 70.90 45.74 4.8
72.0 70.87 48.45 4.6
72.0 70.89 44.88 4.5
72.0 70.91 41.75 4.8
72.0 70.88 48.30 4.4
72.0 70.92 40.34 4.6
72.0 70.91 42.50 4.4
72.0 70.88 47.71 4.8
72.0 70.90 44.46 5.0
72.0 70.91 42.70 4.4
72.0 70.86 50.01 4.6
72.0 70.88 44.50 5.0
72.0 70.87 47.00 4.6
72.0 70.94 36.48 4.8
72.0 70.97 35.33 4.6
72.0 70.94 43.64 4.7
72.0 71.00 35.83 4.6
72.0 70.98 39.79 4.8
72.0 71.01 35.49 4.5
72.0 70.99 41.33 4.5
72.0 71.02 36.18 4.3
72.0 70.93 49.72 4.7
72.0 70.99 37.49 4.8
72.0 71.00 38.50 4.5
72.0 70.98 42.00 4.8
72.0 70.94 46.11 4.5
72.0 70.98 40.10 4.9
72.0 70.94 45.99 4.5
72.0 70.84 57.70 4.2
72.0 70.86 49.74 4.4
72.0 70.86 48.65 4.6
72.0 70.90 42.00 4.8
72.0 70.89 43.43 4.8
72.0 70.91 42.20 4.6
72.0 70.93 41.46 4.7
72.0 70.94 39.84 4.8
72.0 70.97 37.00 4.3
72.0 71.01 34.12 4.5
72.0 71.06 31.80 4.2
72.0 71.01 40.57 4.4
72.0 71.02 38.89 4.0
72.0 71.02 39.03 4.3
72.0 71.05 35.99 4.3
72.0 71.07 34.27 4.3
72.0 71.07 35.39 4.3
72.0 71.07 37.80 4.4
72.0 71.14 27.49 4.5
72.0 71.11 34.79 4.7
72.0 71.08 39.35 4.0
72.0 71.06 41.84 3.9
72.0 71.01 46.30 3.7
72.0 70.99 44.95 4.1
72.0 70.95 47.54 4.4
72.0 71.01 38.99 4.1
72.0 71.06 31.68 4.3
72.0 71.09 32.02 4.5
72.0 71.11 30.99 4.4
72.0 71.08 38.24 4.1
72.0 71.08 37.34 4.4
72.0 71.07 36.90 4.3
72.0 71.05 41.47 4.1
72.0 71.17 22.88 3.9
72.0 71.23 20.62 3.8
72.0 71.21 27.66 3.7
72.0 71.20 31.98 3.2
72.0 71.18 34.25 4.0
72.0 71.29 18.50 3.5
72.0 71.22 32.92 3.6
72.0 71.20 34.55 3.5
72.0 71.21 31.57 3.4
72.0 71.20 33.93 3.5
72.0 71.21 31.29 3.5
72.0 71.34 16.48 3.5
72.0 71.28 28.16 3.3
72.0 71.29 28.62 3.5
72.0 71.26 31.33 3.3
72.0 71.22 36.50 3.5
72.0 71.20 36.35 3.5
72.0 71.21 32.47 3.1
72.0 71.34 17.02 3.6
72.0 71.41 12.28 3.3
72.0 71.40 19.26 3.0
72.0 71.38 23.37 2.8
72.0 71.45 16.15 2.8
72.0 71.43 21.43 2.8
72.0 71.46 17.22 2.8
72.0 71.47 18.74 3.1
72.0 71.48 19.45 2.7
72.0 71.48 19.22 2.5
72.0 71.42 28.83 2.2
72.0 71.40 27.48 2.8
72.0 71.51 12.83 2.8
72.0 71.54 12.45 2.7
72.0 71.51 18.59 2.4
72.0 71.40 34.26 2.5
72.0 71.48 17.26 2.6
72.0 71.51 15.51 2.5
72.0 71.51 17.04 2.4
72.0 71.51 18.79 2.4
72.0 71.52 18.66 2.2
72.0 71.52 18.59 2.3
72.0 71.54 15.92 2.4
72.0 71.59 11.27 2.2
72.0 71.61 11.74 2.1
72.0 71.62 11.36 2.3
72.0 71.64 11.08 1.8
72.0 71.63 14.72 2.2
72.0 71.69 6.18 1.7
72.0 71.79 -5.11 1.8
72.0 71.72 11.34 1.8
72.0 71.72 10.52 1.5
72.0 71.73 10.37 1.9
72.0 71.76 6.71 1.3
72.0 71.78 5.10 2.0
72.0 71.75 10.23 1.6
72.0 71.76 9.75 1.6
72.0 71.71 15.97 1.5
72.0 71.67 19.41 1.6
72.0 71.65 18.34 1.5
72.0 71.67 14.39 1.6
72.0 71.72 6.44 1.7
72.0 71.73 8.04 1.5
72.0 71.73 8.51 1.5
72.0 71.73 9.03 1.3
72.0 71.81 -1.36 1.5
72.0 71.83 0.67 1.4
72.0 71.89 -5.34 1.3
72.0 71.91 -2.12 1.6
72.0 71.84 8.93 1.1
72.0 71.84 8.58 1.2
72.0 71.81 11.73 1.3
72.0 71.83 7.24 1.3
72.0 71.73 21.16 1.1
72.0 71.73 15.97 0.9
72.0 71.73 12.76 1.1
72.0 71.74 11.42 1.2
72.0 71.84 -1.96 1.1
72.0 71.76 12.86 1.4
72.0 71.71 17.50 1.6
72.0 71.72 13.63 1.2
72.0 71.72 12.28 1.3
72.0 71.70 14.21 1.4
72.0 71.71 12.04 1.5
72.0 71.74 8.10 1.4
72.0 71.79 2.22 1.4
72.0 71.79 5.55 1.1
72.0 71.83 0.16 1.1
72.0 71.83 4.14 1.0
72.0 71.80 9.55 1.3
72.0 71.79 8.99 1.5
72.0 71.84 2.34 0.9
72.0 71.83 5.21 1.1
72.0 71.75 16.47 1.1
72.0 71.80 6.83 1.1
72.0 71.80 7.60 1.1
72.0 71.77 11.43 0.9
72.0 71.75 13.59 0.9
72.0 71.75 11.47 1.0
72.0 71.73 13.77 1.1
72.0 71.76 8.41 1.1
72.0 71.83 -0.39 1.1
72.0 71.75 13.69 0.9
72.0 71.75 11.50 1.1
72.0 71.95 -15.10 1.3
72.0 71.88 1.85 1.3
72.0 71.87 4.81 1.5
72.0 71.81 13.07 1.3
72.0 71.81 10.98 1.3
72.0 71.83 6.84 1.3
72.0 71.78 14.27 1.3
72.0 71.77 11.87 1.1
72.0 71.85 1.20 1.3
72.0 71.84 4.71 1.7
72.0 71.93 -7.44 1.4
72.0 71.98 -9.96 1.5
72.0 71.91 4.13 1.3
72.0 71.92 2.36 1.3
72.0 71.91 4.87 1.3
72.0 71.94 -0.38 1.4
72.0 71.97 -2.96 1.3
72.0 72.02 -7.70 1.2
72.0 72.07 -10.75 1.3
72.0 71.99 2.97 1.9
72.0 71.99 1.48 1.5
72.0 71.97 4.14 1.2
72.0 72.02 -4.45 1.5
72.0 72.00 0.86 1.2
72.0 72.04 -6.00 0.9
72.0 72.06 -6.70 1.0
72.0 71.99 5.96 0.8
72.0 71.99 3.00 0.7
72.0 72.01 -1.81 1.1
72.0 72.04 -4.28 1.0
72.0 71.99 4.10 0.9
72.0 72.01 -1.24 1.1
72.0 72.01 -0.78 1.1
72.0 72.11 -13.99 0.9
72.0 72.10 -8.14 1.0
72.0 71.99 7.58 1.1
72.0 72.02 0.29 1.0
72.0 72.04 -3.37 1.0
72.0 72.01 1.27 1.3
72.0 72.06 -5.95 1.1
72.0 72.01 3.12 1.0
72.0 71.89 18.34 0.9
72.0 71.97 0.38 1.1
72.0 72.05 -9.74 1.4
72.0 72.12 -15.01 1.5
72.0 72.13 -11.77 1.5
72.0 72.17 -13.44 1.6
72.0 72.17 -11.53 1.4
72.0 72.16 -7.33 1.5
72.0 72.19 -11.49 1.4
72.0 72.19 -10.80 1.6
72.0 72.20 -10.51 0.9
72.0 72.25 -16.70 1.5
72.0 72.35 -26.59 1.5
72.0 72.39 -26.21 1.8
72.0 72.42 -26.18 1.7
72.0 72.43 -23.61 1.8
72.0 72.39 -16.21 2.1
72.0 72.37 -15.16 1.9
72.0 72.43 -23.79 2.0
72.0 72.44 -22.52 1.7
72.0 72.32 -6.65 2.0
72.0 72.51 -35.80 2.0
72.0 72.46 -22.41 2.2
72.0 72.42 -15.28 2.3
72.0 72.42 -18.50 2.0
72.0 72.38 -12.98 2.2
72.0 72.42 -19.73 2.0
72.0 72.38 -14.15 2.4
72.0 72.39 -17.12 2.1
72.0 72.37 -15.17 2.1
72.0 72.48 -30.39 2.2
72.0 72.46 -23.81 2.0
72.0 72.49 -25.60 2.2
72.0 72.49 -23.97 2.0
72.0 72.53 -29.42 2.2
72.0 72.53 -26.38 2.6
72.0 72.57 -30.76 2.4
72.0 72.54 -24.35 2.2
72.0 72.54 -23.91 2.6
72.0 72.53 -23.07 2.6
72.0 72.50 -20.06 2.1
72.0 72.40 -9.09 2.7
72.0 72.44 -17.77 2.4
72.0 72.44 -19.15 2.3
72.0 72.42 -17.20 2.8
72.0 72.40 -16.02 2.7
72.0 72.49 -27.79 2.5
72.0 72.49 -25.07 2.4
72.0 72.58 -36.35 2.7
72.0 72.53 -24.17 2.7
72.0 72.52 -23.13 2.4
72.0 72.54 -26.23 2.4
72.0 72.54 -24.87 2.6
72.0 72.61 -33.58 2.3
72.0 72.59 -28.52 2.7
72.0 72.71 -42.34 2.9
72.0 72.71 -38.41 3.3
72.0 72.69 -31.83 3.1
72.0 72.72 -35.40 3.3
72.0 72.69 -31.21 3.5
e 6.157098054885864
