55.0 -255.00 0.0
55.0 62.35 -255.00 0.0
55.0 62.36 -255.00 0.0
55.0 62.30 -255.00 0.0
55.0 
55.0 62.26 -255.00 0.1
55.0 62.21 138.28 0.0
55.0 62.21 -99.66 0.5
55.0 62.15 45.75 0.7
55.0 62.09 -20.31 0.0
55.0 62.11 -255.00 0.7
55.0 62.21 -255.00 2.4
55.0 62.17 -255.00 4.9
55.0 62.07 -255.00 6.9
55.0 62.09 -255.00 9.5
55.0 61.90 -255.00 10.4
55.0 61.90 -255.00 12.1
55.0 61.92 -255.00 12.9
55.0 61.92 -255.00 15.1
55.0 61.85 -255.00 16.2
55.0 61.80 -255.00 17.4
55.0 61.85 -255.00 17.9
55.0 61.96 -255.00 19.9
55.0 61.90 -255.00 20.2
55.0 61.92 -255.00 20.4
55.0 61.98 -255.00 21.6
55.0 61.95 -255.00 22.0
55.0 61.95 -255.00 22.8
55.0 61.93 -255.00 23.5
55.0 61.92 -255.00 24.0
55.0 61.87 -255.00 24.1
55.0 61.87 -255.00 24.7
55.0 61.88 -255.00 25.4
55.0 61.76 -255.00 25.6
55.0 61.74 -255.00 25.7
55.0 61.77 -255.00 25.2
55.0 61.80 -255.00 26.8
55.0 61.78 -255.00 26.5
55.0 61.76 -255.00 26.6
55.0 61.79 -255.00 26.4
55.0 61.99 -255.00 27.4
55.0 62.05 -255.00 27.2
55.0 62.02 -255.00 27.7
55.0 62.01 -255.00 27.4
55.0 62.07 -255.00 27.5
55.0 62.11 -255.00 27.7
55.0 62.07 -255.00 28.0
55.0 61.93 -255.00 27.5
55.0 61.97 -255.00 27.8
55.0 61.94 -255.00 29.0
55.0 61.94 -255.00 27.8
55.0 62.05 -255.00 28.2
55.0 61.93 -255.00 28.0
55.0 61.93 -255.00 27.7
55.0 61.91 -255.00 28.9
55.0 61.84 -255.00 28.2
55.0 61.90 -255.00 28.4
55.0 61.90 -255.00 28.0
55.0 62.03 -255.00 28.6
55.0 62.03 -255.00 28.4
55.0 62.04 -255.00 28.4
55.0 62.03 -255.00 27.8
55.0 62.03 -255.00 28.4
55.0 61.99 -255.00 28.2
55.0 61.96 -255.00 28.0
55.0 62.12 -255.00 28.6
55.0 62.03 -255.00 28.2
55.0 61.98 -255.00 28.0
55.0 61.94 -255.00 28.2
55.0 61.95 -255.00 28.5
55.0 61.88 -255.00 28.2
55.0 61.86 -255.00 28.2
55.0 61.83 -255.00 28.1
55.0 61.86 -255.00 28.4
55.0 61.79 -255.00 28.0
55.0 61.77 -255.00 28.8
55.0 61.69 -255.00 28.2
55.0 61.65 -255.00 28.2
55.0 61.64 -255.00 27.8
55.0 61.72 -255.00 28.2
55.0 61.68 -255.00 28.3
55.0 61.62 -255.00 28.9
55.0 61.61 -255.00 28.2
55.0 61.59 -255.00 28.1
55.0 61.51 -255.00 28.2
55.0 61.47 -255.00 28.2
55.0 61.49 -255.00 28.4
55.0 61.39 -255.00 28.1
55.0 61.41 -255.00 28.2
55.0 61.41 -255.00 27.7
55.0 61.48 -255.00 28.2
55.0 61.57 -255.00 27.7
55.0 61.55 -255.00 28.4
55.0 61.61 -255.00 28.4
55.0 61.46 -255.00 28.2
55.0 61.42 -255.00 28.5
55.0 61.26 -255.00 28.3
55.0 61.20 -255.00 28.0
55.0 61.24 -255.00 28.2
55.0 61.25 -255.00 27.5
55.0 61.32 -255.00 28.1
55.0 61.36 -255.00 28.0
55.0 61.31 -255.00 27.7
55.0 61.40 -255.00 28.2
55.0 61.28 -255.00 28.1
55.0 61.22 -255.00 28.2
55.0 61.22 -255.00 28.4
55.0 61.20 -255.00 28.0
55.0 61.22 -255.00 28.1
55.0 61.18 -255.00 28.6
55.0 61.13 -255.00 28.1
55.0 61.07 -255.00 28.0
55.0 61.06 -255.00 28.2
55.0 61.03 -255.00 28.1
55.0 60.92 -255.00 27.9
55.0 60.90 -255.00 28.3
55.0 60.79 -255.00 28.1
55.0 60.74 -255.00 27.9
55.0 60.76 -255.00 27.9
55.0 60.73 -255.00 28.5
55.0 60.66 -255.00 28.0
55.0 60.57 -255.00 28.0
55.0 60.58 -255.00 27.8
55.0 60.56 -255.00 28.0
55.0 60.48 -248.56 27.9
55.0 60.44 -255.00 27.7
55.0 60.32 -233.20 27.7
55.0 60.31 -255.00 27.5
55.0 60.33 -255.00 27.5
55.0 60.42 -255.00 27.8
55.0 60.29 -228.60 27.6
55.0 60.28 -255.00 27.2
