55.0 255.00 0.0
55.0 39.71 255.00 0.0
55.0 39.71 255.00 0.0
55.0 39.72 255.00 0.0
55.0 39.71 255.00 0.0
55.0 
55.0 39.67 255.00 0.0
55.0 39.71 -90.97 0.5
55.0 39.61 255.00 0.2
55.0 39.60 133.75 0.0
55.0 39.60 122.08 1.3
55.0 39.58 255.00 2.3
55.0 39.58 255.00 4.5
55.0 39.58 255.00 6.1
55.0 39.57 255.00 8.3
55.0 39.58 255.00 10.1
55.0 39.55 255.00 11.6
55.0 39.56 255.00 13.5
55.0 39.60 255.00 14.4
55.0 39.60 255.00 15.9
55.0 39.58 255.00 17.2
55.0 39.56 255.00 18.1
55.0 39.56 255.00 19.0
55.0 39.57 255.00 19.9
55.0 39.48 255.00 21.2
55.0 39.51 255.00 22.0
55.0 39.52 255.00 22.7
55.0 39.53 255.00 22.8
55.0 39.51 255.00 23.3
55.0 39.55 255.00 23.8
55.0 39.51 255.00 24.4
55.0 39.48 255.00 24.3
e 1.3542633056640625
