55.0  225.70 0.0
55.0 44.60 223.31 0.0
55.0 44.57 255.00 0.0
55.0 44.56 244.47 0.0
55.0 
55.0 44.53 255.00 0.0
55.0 44.45 255.00 0.0
55.0 44.38 255.00 0.3
55.0 44.21 255.00 0.8
55.0 44.17 179.66 2.2
55.0 44.11 255.00 3.7
55.0 44.09 255.00 5.7
55.0 44.08 254.87 7.4
55.0 43.92 255.00 9.5
55.0 43.88 255.00 10.9
55.0 43.79 255.00 12.5
55.0 43.79 255.00 13.8
55.0 43.86 255.00 15.1
55.0 43.80 255.00 16.3
55.0 43.75 255.00 17.6
55.0 43.80 255.00 18.4
55.0 43.78 255.00 19.4
55.0 43.73 255.00 20.2
55.0 43.71 255.00 20.8
55.0 43.81 250.82 21.6
55.0 43.78 255.00 22.1
55.0 43.71 255.00 22.4
55.0 43.75 255.00 23.2
55.0 43.71 255.00 23.6
55.0 43.74 255.00 24.0
55.0 43.70 255.00 24.4
55.0 43.69 255.00 24.8
55.0 43.69 255.00 25.1
55.0 43.69 255.00 25.3
55.0 43.67 255.00 26.0
55.0 43.65 255.00 26.9
55.0 43.65 255.00 26.6
55.0 43.65 255.00 26.2
55.0 43.67 255.00 26.0
55.0 43.67 255.00 26.5
55.0 43.66 255.00 26.7
55.0 43.65 255.00 26.7
55.0 43.63 255.00 26.8
55.0 43.68 255.00 27.6
55.0 43.79 233.85 26.7
55.0 43.84 255.00 27.1
55.0 43.74 255.00 27.0
55.0 43.67 255.00 26.9
55.0 43.65 255.00 27.0
55.0 43.66 255.00 27.2
55.0 43.72 255.00 27.2
55.0 43.68 255.00 27.2
55.0 43.69 255.00 27.3
55.0 43.67 255.00 27.2
55.0 43.65 255.00 28.4
55.0 43.67 255.00 27.8
55.0 43.66 255.00 27.3
55.0 43.65 255.00 26.8
55.0 43.64 255.00 27.1
55.0 43.63 255.00 27.8
55.0 43.72 255.00 26.8
55.0 43.62 255.00 26.7
55.0 43.62 255.00 27.4
55.0 43.68 253.09 27.1
55.0 43.65 255.00 26.9
55.0 43.64 255.00 27.0
55.0 43.69 255.00 27.0
55.0 43.68 255.00 26.9
55.0 43.66 255.00 27.3
55.0 43.70 255.00 26.6
55.0 43.68 255.00 26.6
55.0 43.67 255.00 26.9
55.0 43.68 255.00 26.5
55.0 43.69 255.00 27.3
55.0 43.78 254.46 26.8
55.0 43.76 255.00 26.4
55.0 43.79 255.00 26.7
55.0 43.80 255.00 26.4
55.0 43.85 255.00 26.6
55.0 43.92 243.51 26.4
55.0 43.88 255.00 26.3
55.0 43.90 255.00 25.5
55.0 43.90 255.00 26.9
55.0 43.91 255.00 26.0
55.0 43.93 255.00 26.5
55.0 43.97 252.17 26.2
55.0 43.98 255.00 26.3
55.0 44.03 255.00 25.8
55.0 43.99 255.00 25.8
55.0 44.02 252.77 26.0
55.0 43.98 255.00 25.9
55.0 44.05 255.00 26.0
55.0 44.09 249.46 26.0
55.0 44.09 255.00 27.0
