55.0 -255.00 0.0
55.0 60.99 -255.00 0.0
55.0 60.98 -255.00 0.0
55.0 61.00 -255.00 0.3
55.0 
55.0 60.95 -255.00 0.0
55.0 60.92 115.78 0.0
55.0 60.86 118.20 0.0
55.0 60.86 -54.99 0.0
55.0 60.88 -106.84 0.5
55.0 60.79 -239.75 1.5
55.0 60.69 -219.96 2.7
55.0 60.61 -231.77 6.0
55.0 60.70 -255.00 7.4
55.0 60.66 -237.64 9.3
55.0 60.65 -255.00 11.2
55.0 60.63 -255.00 12.3
55.0 60.54 -237.73 15.0
55.0 60.69 -255.00 15.7
55.0 60.71 -255.00 16.9
55.0 60.67 -249.62 17.8
55.0 60.64 -255.00 19.2
55.0 60.61 -248.81 20.9
55.0 60.70 -255.00 21.2
55.0 60.66 -249.54 21.7
55.0 60.67 -255.00 22.4
55.0 60.50 -215.91 23.6
55.0 60.52 -255.00 24.8
55.0 60.53 -255.00 24.1
55.0 60.51 -255.00 24.7
55.0 60.49 -247.39 25.3
55.0 60.46 -252.66 25.4
55.0 60.55 -255.00 26.5
55.0 60.57 -255.00 26.3
55.0 60.54 -248.00 26.9
55.0 60.56 -255.00 27.6
55.0 60.57 -255.00 27.0
55.0 60.61 -255.00 27.3
55.0 60.60 -254.50 27.6
55.0 60.61 -255.00 27.9
55.0 60.52 -224.98 27.7
55.0 60.50 -255.00 28.0
55.0 60.60 -255.00 28.2
55.0 60.63 -255.00 28.3
55.0 60.58 -242.78 28.5
55.0 60.56 -255.00 28.3
55.0 60.57 -255.00 28.2
55.0 60.55 -255.00 29.0
55.0 60.52 -255.00 28.9
55.0 60.50 -247.52 29.0
55.0 60.42 -235.83 29.4
55.0 60.29 -217.84 29.1
55.0 60.20 -221.54 27.7
55.0 60.21 -243.78 28.7
55.0 60.22 -254.20 28.6
55.0 60.20 -242.99 28.7
55.0 60.16 -236.99 28.3
55.0 60.06 -202.50 28.7
55.0 60.00 -234.47 28.7
55.0 60.07 -253.51 28.2
55.0 60.06 -240.77 28.2
55.0 60.06 -240.66 28.6
55.0 60.02 -229.26 28.1
55.0 59.95 -206.59 28.0
55.0 59.92 -237.86 28.0
55.0 59.91 -222.91 27.5
55.0 59.97 -255.00 27.8
55.0 59.99 -244.94 28.0
55.0 59.99 -239.54 28.0
55.0 59.94 -212.06 28.1
55.0 59.99 -255.00 27.8
55.0 59.98 -233.99 27.1
55.0 60.15 -255.00 28.0
55.0 60.15 -237.36 27.9
55.0 60.15 -255.00 28.0
55.0 60.19 -249.26 27.8
55.0 60.24 -255.00 27.9
55.0 60.21 -243.23 27.8
55.0 60.21 -248.55 28.4
55.0 60.17 -226.24 28.4
55.0 60.08 -231.02 28.3
55.0 60.09 -236.59 28.6
55.0 59.97 -202.01 28.4
55.0 59.85 -200.15 27.7
55.0 59.78 -209.52 27.6
55.0 59.75 -209.71 27.3
55.0 59.74 -224.81 27.1
55.0 59.73 -224.67 26.8
55.0 59.69 -203.37 26.7
55.0 59.76 -246.63 26.6
55.0 59.75 -224.87 26.7
55.0 59.72 -219.12 26.9
55.0 59.63 -186.01 26.0
55.0 59.48 -184.31 26.4
55.0 59.47 -200.53 26.0
55.0 59.45 -209.46 25.7
55.0 59.44 -209.24 25.6
55.0 59.44 -214.63 25.4
55.0 59.41 -194.31 25.3
55.0 59.42 -223.02 25.2
55.0 59.41 -199.82 25.0
55.0 59.40 -208.64 25.0
55.0 59.50 -234.73 25.6
55.0 59.39 -192.41 24.6
55.0 59.52 -246.58 24.6
55.0 59.44 -188.20 25.3
55.0 59.39 -197.92 25.2
55.0 59.33 -191.76 25.0
55.0 59.30 -187.33 24.8
55.0 59.25 -199.53 24.6
