95.0 63.76 0.0
95.0 93.02 63.93 0.0
95.0 92.97 69.73 0.0
95.0 92.97 65.55 0.0
95.0 92.93 69.42 0.0
95.0 
95.0 92.85 162.21 0.1
95.0 93.05 -46.39 0.0
95.0 92.78 104.30 0.0
95.0 92.58 179.65 0.7
95.0 92.45 171.54 1.9
95.0 92.37 136.61 2.8
95.0 92.30 119.40 3.6
95.0 92.23 112.73 4.1
95.0 92.36 87.90 4.5
95.0 92.24 100.57 4.9
95.0 92.18 101.80 5.1
95.0 92.09 111.39 5.6
95.0 92.09 102.15 6.1
95.0 92.05 103.09 6.0
95.0 91.84 126.37 6.6
95.0 92.09 85.16 7.2
95.0 92.18 77.68 7.2
95.0 92.17 82.93 7.1
95.0 92.04 104.10 7.2
95.0 91.96 111.53 7.4
95.0 91.93 108.22 8.4
95.0 91.81 119.29 8.2
95.0 91.76 120.14 8.6
95.0 91.75 115.56 8.7
95.0 91.74 110.93 8.8
95.0 91.77 105.71 9.2
95.0 91.72 113.53 9.1
95.0 91.76 107.09 8.7
95.0 91.54 133.38 9.3
95.0 91.59 117.84 9.6
95.0 91.69 104.41 9.7
95.0 91.60 116.44 10.0
95.0 92.02 68.08 10.1
95.0 91.86 103.91 9.4
95.0 91.71 122.57 9.6
95.0 91.71 114.55 10.4
95.0 91.66 122.80 10.1
95.0 91.45 142.99 10.2
95.0 91.43 133.65 10.5
95.0 91.28 146.50 10.8
95.0 91.32 133.87 11.0
95.0 91.31 132.41 11.2
95.0 91.34 123.73 11.4
95.0 91.65 94.16 11.5
95.0 91.52 116.79 11.0
95.0 91.45 127.70 11.0
95.0 91.65 102.52 11.4
95.0 91.97 72.26 11.3
95.0 91.94 88.54 10.6
95.0 91.95 91.22 10.7
95.0 91.88 107.42 10.4
95.0 91.65 134.29 10.6
95.0 91.52 140.65 10.6
95.0 91.41 144.56 11.2
95.0 91.35 142.23 11.3
95.0 91.29 138.93 11.8
95.0 91.29 135.07 11.6
95.0 91.33 128.12 11.9
95.0 91.11 153.88 11.6
95.0 91.08 145.84 11.9
95.0 91.01 152.39 12.5
95.0 91.03 140.36 12.3
95.0 91.05 134.24 12.7
95.0 90.94 151.48 12.7
