95.0  255.00 0.0
95.0 69.53 255.00 0.0
95.0 69.64 255.00 0.0
95.0 69.66 255.00 0.0
95.0 
95.0 69.60 255.00 0.0
95.0 69.57 248.64 0.0
95.0 69.43 255.00 0.0
95.0 69.41 248.07 0.2
95.0 69.35 255.00 1.8
95.0 69.38 255.00 2.5
95.0 69.37 255.00 5.0
95.0 69.33 255.00 7.2
95.0 69.44 255.00 8.8
95.0 69.31 255.00 10.4
95.0 69.35 255.00 11.7
95.0 69.41 255.00 12.8
95.0 69.30 255.00 13.8
95.0 69.27 255.00 14.9
95.0 69.29 255.00 16.2
95.0 69.25 255.00 17.1
95.0 69.27 255.00 17.7
95.0 69.11 255.00 18.5
95.0 69.00 255.00 19.4
95.0 68.94 255.00 19.8
95.0 68.84 255.00 20.2
95.0 68.95 255.00 20.7
95.0 68.85 255.00 21.1
95.0 68.84 255.00 21.7
95.0 68.95 255.00 22.1
95.0 68.79 255.00 22.3
95.0 68.75 255.00 22.8
95.0 68.75 255.00 22.9
95.0 68.63 255.00 23.0
95.0 68.63 255.00 23.5
95.0 68.54 255.00 23.5
95.0 68.52 255.00 23.7
95.0 68.71 255.00 23.9
95.0 68.92 255.00 24.1
95.0 69.09 255.00 24.1
95.0 69.15 255.00 24.2
95.0 69.18 255.00 24.5
95.0 69.32 255.00 24.7
95.0 69.31 255.00 24.5
95.0 69.28 255.00 24.7
95.0 69.37 255.00 24.8
95.0 69.23 255.00 24.7
95.0 69.25 255.00 24.8
95.0 69.27 255.00 24.8
95.0 69.16 255.00 24.8
95.0 69.00 255.00 25.1
95.0 68.85 255.00 25.1
95.0 68.85 255.00 25.2
95.0 68.72 255.00 25.1
95.0 68.70 255.00 25.1
95.0 68.69 255.00 24.8
95.0 68.73 255.00 24.7
95.0 68.82 255.00 25.0
95.0 68.89 255.00 24.8
95.0 68.92 255.00 24.7
95.0 69.00 255.00 24.7
95.0 69.05 255.00 25.0
95.0 69.07 255.00 24.7
95.0 69.04 255.00 24.7
95.0 69.08 255.00 24.7
95.0 69.10 255.00 24.6
95.0 69.07 255.00 25.0
95.0 69.09 255.00 24.7
95.0 69.10 255.00 24.4
95.0 69.12 255.00 24.8
95.0 69.04 255.00 24.9
95.0 69.00 255.00 24.8
95.0 69.02 255.00 24.7
95.0 68.98 255.00 24.7
95.0 68.96 255.00 24.7
95.0 68.99 255.00 24.7
95.0 69.00 255.00 24.7
95.0 68.98 255.00 24.2
95.0 68.96 255.00 24.5
95.0 68.95 255.00 24.6
95.0 69.02 255.00 24.0
95.0 69.15 255.00 23.9
95.0 69.28 255.00 23.9
95.0 69.39 255.00 23.7
95.0 69.51 255.00 23.7
95.0 69.59 255.00 24.0
95.0 69.72 255.00 23.6
95.0 69.80 255.00 23.6
95.0 69.88 255.00 23.7
95.0 69.96 255.00 23.5
95.0 70.02 255.00 23.5
95.0 70.05 255.00 23.5
95.0 70.11 255.00 23.9
95.0 70.13 255.00 23.7
95.0 70.14 255.00 23.5
95.0 70.11 255.00 24.1
95.0 70.05 255.00 23.5
95.0 70.06 255.00 23.7
95.0 70.07 255.00 23.4
95.0 70.07 255.00 23.3
95.0 70.01 255.00 23.7
95.0 69.96 255.00 23.4
95.0 70.00 255.00 23.7
95.0 69.99 255.00 23.7
95.0 69.96 255.00 23.2
95.0 69.98 255.00 23.5
95.0 69.97 255.00 23.7
95.0 69.95 255.00 23.5
95.0 69.99 255.00 23.1
95.0 70.00 255.00 23.5
95.0 70.06 255.00 23.5
95.0 70.03 255.00 23.0
95.0 70.06 255.00 23.4
95.0 70.09 255.00 23.1
95.0 70.14 255.00 23.0
95.0 70.23 255.00 23.1
95.0 70.36 255.00 22.8
95.0 70.48 255.00 22.8
95.0 70.58 255.00 22.7
95.0 70.68 255.00 22.8
95.0 70.72 255.00 22.7
95.0 70.71 255.00 22.8
95.0 70.72 255.00 23.0
95.0 70.66 255.00 23.0
95.0 70.65 255.00 22.8
95.0 70.60 255.00 22.8
95.0 70.53 255.00 22.9
95.0 70.54 255.00 22.5
95.0 70.52 255.00 22.7
95.0 70.77 255.00 22.5
95.0 70.82 255.00 22.5
95.0 71.01 255.00 22.5
95.0 71.11 255.00 22.7
95.0 71.18 255.00 22.6
95.0 71.10 255.00 22.6
95.0 71.21 255.00 22.4
95.0 71.20 255.00 22.5
95.0 71.30 255.00 22.4
95.0 71.28 255.00 22.3
95.0 71.30 255.00 22.3
95.0 71.49 255.00 22.4
95.0 71.62 255.00 22.4
95.0 71.61 255.00 22.3
95.0 71.65 255.00 22.2
95.0 71.66 255.00 22.3
95.0 71.79 255.00 22.2
95.0 71.81 255.00 22.2
95.0 71.95 255.00 22.2
95.0 72.01 255.00 22.2
95.0 72.08 255.00 22.1
95.0 72.12 255.00 22.2
95.0 72.18 255.00 22.0
95.0 72.21 255.00 22.0
95.0 72.34 255.00 21.9
95.0 72.40 255.00 21.5
95.0 72.48 255.00 22.0
95.0 72.53 255.00 22.9
95.0 72.58 255.00 22.2
95.0 72.67 255.00 21.3
95.0 72.77 255.00 21.5
95.0 72.87 255.00 21.9
95.0 72.90 255.00 22.4
95.0 72.98 255.00 22.0
95.0 73.06 255.00 21.8
95.0 73.12 255.00 21.6
95.0 73.18 255.00 21.4
95.0 73.21 255.00 21.3
95.0 73.31 255.00 21.7
95.0 73.41 255.00 22.1
95.0 73.49 255.00 21.9
95.0 73.56 255.00 21.4
95.0 73.63 255.00 21.5
95.0 73.90 255.00 21.8
95.0 74.14 255.00 21.7
95.0 73.95 255.00 21.6
95.0 73.88 255.00 21.5
95.0 73.97 255.00 21.1
95.0 74.15 255.00 21.3
95.0 74.16 255.00 21.9
95.0 74.06 255.00 21.7
95.0 74.13 255.00 21.8
95.0 74.35 255.00 21.1
95.0 74.47 255.00 21.1
95.0 74.45 255.00 21.7
95.0 74.50 255.00 21.2
95.0 74.66 255.00 21.4
95.0 74.69 255.00 21.5
95.0 74.70 255.00 21.5
95.0 74.73 255.00 21.5
95.0 74.81 255.00 21.3
95.0 74.94 255.00 21.3
95.0 75.16 255.00 21.2
95.0 75.33 255.00 21.3
95.0 75.66 255.00 21.3
95.0 75.70 255.00 21.1
95.0 75.82 255.00 21.3
95.0 75.79 255.00 21.1
95.0 75.79 255.00 21.1
95.0 75.82 255.00 21.1
95.0 75.95 255.00 21.1
95.0 75.99 255.00 21.3
95.0 76.03 255.00 21.1
95.0 76.06 255.00 21.1
95.0 76.03 255.00 21.1
95.0 76.14 255.00 21.3
95.0 76.22 255.00 21.8
95.0 76.31 255.00 20.7
95.0 76.40 255.00 20.4
95.0 76.50 255.00 21.3
95.0 76.54 255.00 21.7
95.0 76.58 255.00 20.7
95.0 76.64 255.00 20.6
95.0 76.72 255.00 20.9
95.0 76.79 255.00 21.4
95.0 76.83 255.00 20.9
95.0 76.92 255.00 20.6
95.0 77.00 255.00 21.1
95.0 76.99 255.00 21.1
95.0 76.87 255.00 20.7
95.0 77.28 255.00 20.8
95.0 77.33 255.00 20.9
95.0 77.17 255.00 21.3
95.0 77.17 255.00 21.1
