55.0  255.00 0.0
55.0 44.51 255.00 0.0
95.0 44.50 255.00 0.0
95.0 44.50 255.00 0.0
95.0 44.49 255.00 0.0
95.0 
95.0 44.44 255.00 0.0
95.0 44.39 221.31 0.0
95.0 44.38 176.77 0.0
95.0 44.34 176.02 0.0
95.0 44.31 160.21 0.0
95.0 44.29 207.61 0.0
95.0 44.32 231.30 0.0
95.0 44.29 243.15 0.0
95.0 44.27 249.08 0.0
95.0 44.26 252.04 0.0
95.0 44.25 253.52 0.0
95.0 44.26 254.26 0.0
95.0 44.28 254.63 0.0
95.0 44.19 254.81 0.0
95.0 44.18 254.91 0.0
95.0 44.18 254.95 0.0
95.0 44.16 254.98 0.0
95.0 44.16 254.99 0.0
95.0 44.16 254.99 0.0
95.0 44.13 255.00 0.0
95.0 44.17 255.00 0.0
95.0 44.18 255.00 0.0
95.0 44.18 255.00 0.0
95.0 44.18 255.00 0.0
95.0 44.18 255.00 0.0
95.0 44.20 255.00 0.0
95.0 44.17 255.00 0.2
95.0 44.23 255.00 0.0
95.0 44.25 255.00 0.2
95.0 44.22 255.00 0.0
95.0 44.22 255.00 0.0
95.0 44.23 255.00 0.0
95.0 44.25 255.00 0.0
95.0 44.24 255.00 0.0
95.0 44.22 255.00 0.0
95.0 44.22 255.00 0.0
95.0 44.21 255.00 0.0
95.0 44.21 255.00 0.0
95.0 44.19 255.00 0.0
95.0 44.14 255.00 0.0
95.0 44.18 255.00 0.0
95.0 44.19 255.00 0.0
95.0 44.18 255.00 0.0
95.0 44.17 255.00 0.0
95.0 44.16 255.00 0.0
95.0 44.16 255.00 0.0
95.0 44.16 255.00 0.0
95.0 44.14 255.00 0.1
95.0 44.21 255.00 0.0
95.0 44.20 255.00 0.2
95.0 44.19 255.00 0.0
95.0 44.19 255.00 0.0
95.0 44.18 255.00 0.0
95.0 44.17 255.00 0.0
95.0 44.14 255.00 0.0
95.0 44.16 255.00 0.0
95.0 44.13 255.00 0.0
